datetime_beginning_utc,datetime_beginning_ept,interface_limit_name,flow_mw,limit_mw
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,APSOUTH,4463,4900
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,BCPEP,5281,5600
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,BED-BLA,1590,1600
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,CENTRAL,1540,3000
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,EAST,3944,5300
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,WEST,4385,5200
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,APSOUTH,4399,4900
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,BCPEP,5164,5600
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,BED-BLA,1592,1600
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,CENTRAL,1419,3000
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,EAST,3621,5300
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,WEST,4128,5200
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,APSOUTH,4377,4900
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,BCPEP,5035,5600
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,BED-BLA,1597,1600
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,CENTRAL,1581,3000
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,EAST,3818,5300
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,WEST,4152,5200
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,APSOUTH,4431,4900
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,BCPEP,5164,5600
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,BED-BLA,1599,1600
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,CENTRAL,1516,3000
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,EAST,3812,5300
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,WEST,4205,5200
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,APSOUTH,4338,4900
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,BCPEP,5127,5600
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,BED-BLA,1598,1600
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,CENTRAL,1549,3000
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,EAST,3734,5300
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,WEST,4211,5200
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,APSOUTH,4456,4900
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,BCPEP,4950,5600
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,BED-BLA,1596,1600
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,CENTRAL,1400,3000
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,EAST,4025,5300
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,WEST,3969,5200
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,APSOUTH,4644,4900
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,BCPEP,5240,5600
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,BED-BLA,1600,1600
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,CENTRAL,1897,3000
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,EAST,4273,5300
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,WEST,4658,5200
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,APSOUTH,4584,4600
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,BCPEP,5364,5900
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,BED-BLA,1700,1700
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,CENTRAL,1899,2900
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,EAST,4189,5700
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,WEST,4692,5400
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,APSOUTH,4587,4600
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,BCPEP,5369,5900
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,BED-BLA,1697,1700
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,CENTRAL,1894,2900
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,EAST,4041,5700
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,WEST,4745,5400
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,APSOUTH,4600,4600
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,BCPEP,5086,5900
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,BED-BLA,1681,1700
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,CENTRAL,1327,2900
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,EAST,3260,5700
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,WEST,4141,5400
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,APSOUTH,4459,4600
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,BCPEP,5196,5900
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,BED-BLA,1687,1700
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,CENTRAL,1349,2900
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,EAST,3278,5700
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,WEST,4167,5400
