forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
12/30/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Western,5330,1618,3004,708
12/30/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Mid Atlantic - Dominion,3160,387,2034,739
12/30/2016 12:00:00 AM,1/3/2017 12:00:00 AM,PJM RTO,7984,1715,4822,1447
12/30/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Western,4824,1328,2788,708
12/30/2016 12:00:00 AM,1/4/2017 12:00:00 AM,Mid Atlantic - Dominion,2742,387,1630,725
12/30/2016 12:00:00 AM,1/4/2017 12:00:00 AM,PJM RTO,7635,1715,4591,1329
12/30/2016 12:00:00 AM,1/4/2017 12:00:00 AM,Western,4893,1328,2961,604
12/30/2016 12:00:00 AM,1/5/2017 12:00:00 AM,Mid Atlantic - Dominion,2921,387,1819,715
12/30/2016 12:00:00 AM,1/5/2017 12:00:00 AM,PJM RTO,6717,1715,3683,1319
12/30/2016 12:00:00 AM,1/5/2017 12:00:00 AM,Western,3796,1328,1864,604
12/29/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Mid Atlantic - Dominion,5233,1405,2582,1246
12/29/2016 12:00:00 AM,12/29/2016 12:00:00 AM,PJM RTO,15778,3253,8208,4317
12/29/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Western,10545,1848,5626,3071
12/29/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Mid Atlantic - Dominion,4450,1405,2119,926
12/29/2016 12:00:00 AM,12/30/2016 12:00:00 AM,PJM RTO,14202,3253,7174,3775
12/29/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Western,9752,1848,5055,2849
12/29/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Mid Atlantic - Dominion,4591,1405,2262,924
12/29/2016 12:00:00 AM,12/31/2016 12:00:00 AM,PJM RTO,14121,3253,7830,3038
12/29/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Western,9530,1848,5568,2114
12/29/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Mid Atlantic - Dominion,2944,387,1793,764
12/29/2016 12:00:00 AM,1/1/2017 12:00:00 AM,PJM RTO,10965,2005,7454,1506
12/29/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Western,8021,1618,5661,742
12/29/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Mid Atlantic - Dominion,3138,387,1987,764
12/29/2016 12:00:00 AM,1/2/2017 12:00:00 AM,PJM RTO,7554,2005,4043,1506
12/29/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Western,4416,1618,2056,742
12/29/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Mid Atlantic - Dominion,2288,387,1167,734
12/29/2016 12:00:00 AM,1/3/2017 12:00:00 AM,PJM RTO,6814,1715,3623,1476
12/29/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Western,4526,1328,2456,742
12/29/2016 12:00:00 AM,1/4/2017 12:00:00 AM,Mid Atlantic - Dominion,1498,387,764,347
12/29/2016 12:00:00 AM,1/4/2017 12:00:00 AM,PJM RTO,6465,1715,3847,903
12/29/2016 12:00:00 AM,1/4/2017 12:00:00 AM,Western,4967,1328,3083,556
12/28/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mid Atlantic - Dominion,4801,1405,2055,1341
12/28/2016 12:00:00 AM,12/28/2016 12:00:00 AM,PJM RTO,17287,3581,8565,5141
12/28/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Western,12486,2176,6510,3800
12/28/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Mid Atlantic - Dominion,4630,1405,2439,786
12/28/2016 12:00:00 AM,12/29/2016 12:00:00 AM,PJM RTO,15932,3253,8307,4372
12/28/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Western,11302,1848,5868,3586
12/28/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Mid Atlantic - Dominion,4110,1405,1967,738
12/28/2016 12:00:00 AM,12/30/2016 12:00:00 AM,PJM RTO,13304,3253,6701,3350
12/28/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Western,9194,1848,4734,2612
12/28/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Mid Atlantic - Dominion,4491,1405,2368,718
12/28/2016 12:00:00 AM,12/31/2016 12:00:00 AM,PJM RTO,12390,2963,7545,1882
12/28/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Western,7899,1558,5177,1164
12/28/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Mid Atlantic - Dominion,1987,387,1042,558
12/28/2016 12:00:00 AM,1/1/2017 12:00:00 AM,PJM RTO,9084,1715,6275,1094
12/28/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Western,7097,1328,5233,536
12/28/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Mid Atlantic - Dominion,1497,387,552,558
12/28/2016 12:00:00 AM,1/2/2017 12:00:00 AM,PJM RTO,5184,1715,2375,1094
12/28/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Western,3687,1328,1823,536
12/28/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Mid Atlantic - Dominion,1615,387,670,558
12/28/2016 12:00:00 AM,1/3/2017 12:00:00 AM,PJM RTO,5190,1715,2381,1094
12/28/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Western,3575,1328,1711,536
12/27/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Mid Atlantic - Dominion,4332,1405,1902,1025
12/27/2016 12:00:00 AM,12/27/2016 12:00:00 AM,PJM RTO,15935,3581,7954,4400
12/27/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Western,11603,2176,6052,3375
12/27/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mid Atlantic - Dominion,5168,1405,2878,885
12/27/2016 12:00:00 AM,12/28/2016 12:00:00 AM,PJM RTO,14633,3581,7950,3102
12/27/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Western,9465,2176,5072,2217
12/27/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Mid Atlantic - Dominion,4953,1405,2699,849
12/27/2016 12:00:00 AM,12/29/2016 12:00:00 AM,PJM RTO,12623,3253,6337,3033
12/27/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Western,7670,1848,3638,2184
12/27/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Mid Atlantic - Dominion,4121,1405,1901,815
12/27/2016 12:00:00 AM,12/30/2016 12:00:00 AM,PJM RTO,11112,3253,5072,2787
12/27/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Western,6991,1848,3171,1972
12/27/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Mid Atlantic - Dominion,3323,767,1761,795
12/27/2016 12:00:00 AM,12/31/2016 12:00:00 AM,PJM RTO,9059,2325,5260,1474
12/27/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Western,5736,1558,3499,679
12/27/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Mid Atlantic - Dominion,1646,387,700,559
12/27/2016 12:00:00 AM,1/1/2017 12:00:00 AM,PJM RTO,6383,1715,3586,1082
12/27/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Western,4737,1328,2886,523
12/27/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Mid Atlantic - Dominion,1338,387,392,559
12/27/2016 12:00:00 AM,1/2/2017 12:00:00 AM,PJM RTO,4315,1715,1523,1077
12/27/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Western,2977,1328,1131,518
12/26/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Mid Atlantic - Dominion,2904,1405,542,957
12/26/2016 12:00:00 AM,12/26/2016 12:00:00 AM,PJM RTO,14258,3581,6383,4294
12/26/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Western,11354,2176,5841,3337
12/26/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Mid Atlantic - Dominion,4163,1405,1894,864
12/26/2016 12:00:00 AM,12/27/2016 12:00:00 AM,PJM RTO,15069,3581,7872,3616
12/26/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Western,10906,2176,5978,2752
12/26/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mid Atlantic - Dominion,5118,1405,2856,857
12/26/2016 12:00:00 AM,12/28/2016 12:00:00 AM,PJM RTO,13811,3581,7683,2547
12/26/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Western,8693,2176,4827,1690
12/26/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Mid Atlantic - Dominion,4903,1405,2677,821
12/26/2016 12:00:00 AM,12/29/2016 12:00:00 AM,PJM RTO,11659,3253,5895,2511
12/26/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Western,6756,1848,3218,1690
12/26/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Mid Atlantic - Dominion,3973,1405,1781,787
12/26/2016 12:00:00 AM,12/30/2016 12:00:00 AM,PJM RTO,10104,3253,4440,2411
12/26/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Western,6131,1848,2659,1624
12/26/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Mid Atlantic - Dominion,3175,767,1641,767
12/26/2016 12:00:00 AM,12/31/2016 12:00:00 AM,PJM RTO,7767,2325,4393,1049
12/26/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Western,4592,1558,2752,282
12/26/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Mid Atlantic - Dominion,1618,387,700,531
12/26/2016 12:00:00 AM,1/1/2017 12:00:00 AM,PJM RTO,5235,1715,2846,674
12/26/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Western,3617,1328,2146,143
