forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
1/1/2019 12:00:00 AM,1/1/2019 12:00:00 AM,Mid Atlantic - Dominion,2769,697,429,1643
1/1/2019 12:00:00 AM,1/1/2019 12:00:00 AM,Western,6745,160,3111,3474
1/1/2019 12:00:00 AM,1/1/2019 12:00:00 AM,PJM RTO,9514,857,3540,5117
1/1/2019 12:00:00 AM,1/2/2019 12:00:00 AM,Mid Atlantic - Dominion,4848,697,2701,1450
1/1/2019 12:00:00 AM,1/2/2019 12:00:00 AM,Western,6121,160,2739,3222
1/1/2019 12:00:00 AM,1/2/2019 12:00:00 AM,PJM RTO,10969,857,5440,4672
1/2/2019 12:00:00 AM,1/2/2019 12:00:00 AM,Mid Atlantic - Dominion,4059,697,1582,1780
1/2/2019 12:00:00 AM,1/2/2019 12:00:00 AM,Western,10142,160,2683,7299
1/2/2019 12:00:00 AM,1/2/2019 12:00:00 AM,PJM RTO,14201,857,4265,9079
1/1/2019 12:00:00 AM,1/3/2019 12:00:00 AM,Western,3746,160,1912,1674
1/1/2019 12:00:00 AM,1/3/2019 12:00:00 AM,Mid Atlantic - Dominion,5377,697,3386,1294
1/1/2019 12:00:00 AM,1/3/2019 12:00:00 AM,PJM RTO,9123,857,5298,2968
1/2/2019 12:00:00 AM,1/3/2019 12:00:00 AM,Mid Atlantic - Dominion,6139,697,3944,1498
1/2/2019 12:00:00 AM,1/3/2019 12:00:00 AM,Western,7297,160,1920,5217
1/2/2019 12:00:00 AM,1/3/2019 12:00:00 AM,PJM RTO,13436,857,5864,6715
1/3/2019 12:00:00 AM,1/3/2019 12:00:00 AM,Mid Atlantic - Dominion,4751,697,2397,1657
1/3/2019 12:00:00 AM,1/3/2019 12:00:00 AM,Western,8867,160,2039,6668
1/3/2019 12:00:00 AM,1/3/2019 12:00:00 AM,PJM RTO,13618,857,4436,8325
1/1/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Western,4570,160,2743,1667
1/1/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Mid Atlantic - Dominion,6197,697,4210,1290
1/1/2019 12:00:00 AM,1/4/2019 12:00:00 AM,PJM RTO,10767,857,6953,2957
1/2/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Western,5536,160,2816,2560
1/2/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Mid Atlantic - Dominion,6772,697,4614,1461
1/2/2019 12:00:00 AM,1/4/2019 12:00:00 AM,PJM RTO,12308,857,7430,4021
1/3/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Mid Atlantic - Dominion,6152,697,3990,1465
1/3/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Western,6484,160,3312,3012
1/3/2019 12:00:00 AM,1/4/2019 12:00:00 AM,PJM RTO,12636,857,7302,4477
1/4/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Mid Atlantic - Dominion,5154,697,2631,1826
1/4/2019 12:00:00 AM,1/4/2019 12:00:00 AM,Western,11517,160,6101,5256
1/4/2019 12:00:00 AM,1/4/2019 12:00:00 AM,PJM RTO,16671,857,8732,7082
1/1/2019 12:00:00 AM,1/5/2019 12:00:00 AM,Western,5955,160,4140,1655
1/1/2019 12:00:00 AM,1/5/2019 12:00:00 AM,Mid Atlantic - Dominion,6800,1405,4200,1195
1/1/2019 12:00:00 AM,1/5/2019 12:00:00 AM,PJM RTO,12755,1565,8340,2850
1/2/2019 12:00:00 AM,1/5/2019 12:00:00 AM,Western,4841,160,2833,1848
1/2/2019 12:00:00 AM,1/5/2019 12:00:00 AM,Mid Atlantic - Dominion,7259,1405,4471,1383
1/2/2019 12:00:00 AM,1/5/2019 12:00:00 AM,PJM RTO,12100,1565,7304,3231
1/3/2019 12:00:00 AM,1/5/2019 12:00:00 AM,Western,7333,160,4903,2270
1/3/2019 12:00:00 AM,1/5/2019 12:00:00 AM,Mid Atlantic - Dominion,7430,1405,4626,1399
1/3/2019 12:00:00 AM,1/5/2019 12:00:00 AM,PJM RTO,14763,1565,9529,3669
