datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2354.889,True
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2275.381,True
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2205.931,True
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2164.783,True
1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2120.767,True
1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2183.489,True
1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2210.534,True
1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2279.893,True
1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,RFC,MIDATL,PEP,PEPCO,2285.889,True
1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,RFC,MIDATL,PEP,PEPCO,2387.305,True
1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,RFC,MIDATL,PEP,PEPCO,2424.666,True
1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,RFC,MIDATL,PEP,PEPCO,2492.494,True
1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,RFC,MIDATL,PEP,PEPCO,2509.139,True
1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,RFC,MIDATL,PEP,PEPCO,2533.552,True
1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,RFC,MIDATL,PEP,PEPCO,2551.847,True
1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,RFC,MIDATL,PEP,PEPCO,2585.407,True
1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,RFC,MIDATL,PEP,PEPCO,2639.334,True
1/1/2019 10:00:00 PM,1/1/2019 5:00:00 PM,RFC,MIDATL,PEP,PEPCO,2825.261,True
1/1/2019 11:00:00 PM,1/1/2019 6:00:00 PM,RFC,MIDATL,PEP,PEPCO,2857.217,True
1/2/2019 12:00:00 AM,1/1/2019 7:00:00 PM,RFC,MIDATL,PEP,PEPCO,2825.480,True
1/2/2019 1:00:00 AM,1/1/2019 8:00:00 PM,RFC,MIDATL,PEP,PEPCO,2748.633,True
1/2/2019 2:00:00 AM,1/1/2019 9:00:00 PM,RFC,MIDATL,PEP,PEPCO,2685.863,True
1/2/2019 3:00:00 AM,1/1/2019 10:00:00 PM,RFC,MIDATL,PEP,PEPCO,2576.079,True
1/2/2019 4:00:00 AM,1/1/2019 11:00:00 PM,RFC,MIDATL,PEP,PEPCO,2417.651,True
1/2/2019 5:00:00 AM,1/2/2019 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2285.640,True
1/2/2019 6:00:00 AM,1/2/2019 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2246.212,True
1/2/2019 7:00:00 AM,1/2/2019 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2200.237,True
1/2/2019 8:00:00 AM,1/2/2019 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2252.646,True
1/2/2019 9:00:00 AM,1/2/2019 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2349.346,True
1/2/2019 10:00:00 AM,1/2/2019 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2613.447,True
1/2/2019 11:00:00 AM,1/2/2019 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2903.323,True
1/2/2019 12:00:00 PM,1/2/2019 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,3096.485,True
1/2/2019 1:00:00 PM,1/2/2019 8:00:00 AM,RFC,MIDATL,PEP,PEPCO,3108.913,True
1/2/2019 2:00:00 PM,1/2/2019 9:00:00 AM,RFC,MIDATL,PEP,PEPCO,3098.284,True
1/2/2019 3:00:00 PM,1/2/2019 10:00:00 AM,RFC,MIDATL,PEP,PEPCO,3109.396,True
1/2/2019 4:00:00 PM,1/2/2019 11:00:00 AM,RFC,MIDATL,PEP,PEPCO,3101.198,True
1/2/2019 5:00:00 PM,1/2/2019 12:00:00 PM,RFC,MIDATL,PEP,PEPCO,3092.547,True
1/2/2019 6:00:00 PM,1/2/2019 1:00:00 PM,RFC,MIDATL,PEP,PEPCO,3064.094,True
1/2/2019 7:00:00 PM,1/2/2019 2:00:00 PM,RFC,MIDATL,PEP,PEPCO,3066.588,True
1/2/2019 8:00:00 PM,1/2/2019 3:00:00 PM,RFC,MIDATL,PEP,PEPCO,3115.490,True
1/2/2019 9:00:00 PM,1/2/2019 4:00:00 PM,RFC,MIDATL,PEP,PEPCO,3175.151,True
1/2/2019 10:00:00 PM,1/2/2019 5:00:00 PM,RFC,MIDATL,PEP,PEPCO,3307.532,True
