datetime_beginning_utc,datetime_beginning_ept,interface_limit_name,flow_mw,limit_mw
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,APSOUTH,1838,3000
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,BCPEP,3784,6100
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,BED-BLA,676,1300
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,CENTRAL,-388,3000
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,EAST,1815,5200
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,WEST,1168,3800
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,APSOUTH,2325,3000
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,BCPEP,3464,6100
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,BED-BLA,746,1300
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,CENTRAL,-633,3000
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,EAST,1646,5200
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,WEST,845,3800
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,APSOUTH,2345,3000
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,BCPEP,3494,6100
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,BED-BLA,810,1300
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,CENTRAL,-776,3000
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,EAST,1469,5200
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,WEST,813,3800
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,APSOUTH,2441,3000
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,BCPEP,3554,6100
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,BED-BLA,960,1300
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,CENTRAL,-907,3000
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,EAST,1305,5200
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,WEST,789,3800
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,APSOUTH,2513,3000
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,BCPEP,3583,6100
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,BED-BLA,982,1300
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,CENTRAL,-977,3000
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,EAST,1348,5200
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,WEST,831,3800
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,APSOUTH,2520,3000
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,BCPEP,3728,6100
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,BED-BLA,1055,1300
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,CENTRAL,-1016,3000
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,EAST,1573,5200
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,WEST,899,3800
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,APSOUTH,2157,3000
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,BCPEP,4755,6100
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,BED-BLA,1127,1300
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,CENTRAL,-1314,3000
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,EAST,2107,5200
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,WEST,1355,3800
