forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
1/1/2016 12:00:00 AM,1/1/2016 12:00:00 AM,Mid Atlantic - Dominion,4480,1525,1796,1159
1/1/2016 12:00:00 AM,1/1/2016 12:00:00 AM,PJM RTO,11592,3616,2717,5259
1/1/2016 12:00:00 AM,1/1/2016 12:00:00 AM,Western,7112,2091,921,4100
1/1/2016 12:00:00 AM,1/2/2016 12:00:00 AM,Mid Atlantic - Dominion,6544,1537,4168,839
1/1/2016 12:00:00 AM,1/2/2016 12:00:00 AM,PJM RTO,12901,3628,5695,3578
1/1/2016 12:00:00 AM,1/2/2016 12:00:00 AM,Western,6357,2091,1527,2739
1/1/2016 12:00:00 AM,1/3/2016 12:00:00 AM,Mid Atlantic - Dominion,5606,1537,3230,839
1/1/2016 12:00:00 AM,1/3/2016 12:00:00 AM,PJM RTO,10659,3628,4803,2228
1/1/2016 12:00:00 AM,1/3/2016 12:00:00 AM,Western,5053,2091,1573,1389
1/1/2016 12:00:00 AM,1/4/2016 12:00:00 AM,Mid Atlantic - Dominion,5432,1537,3056,839
1/1/2016 12:00:00 AM,1/4/2016 12:00:00 AM,PJM RTO,8816,3798,2912,2106
1/1/2016 12:00:00 AM,1/4/2016 12:00:00 AM,Western,3384,2261,-144,1267
1/1/2016 12:00:00 AM,1/5/2016 12:00:00 AM,Mid Atlantic - Dominion,4818,1546,2758,514
1/1/2016 12:00:00 AM,1/5/2016 12:00:00 AM,PJM RTO,9102,3807,3621,1674
1/1/2016 12:00:00 AM,1/5/2016 12:00:00 AM,Western,4284,2261,863,1160
1/1/2016 12:00:00 AM,1/6/2016 12:00:00 AM,Mid Atlantic - Dominion,4459,760,3185,514
1/1/2016 12:00:00 AM,1/6/2016 12:00:00 AM,PJM RTO,8742,3021,4047,1674
1/1/2016 12:00:00 AM,1/6/2016 12:00:00 AM,Western,4283,2261,862,1160
1/1/2016 12:00:00 AM,1/7/2016 12:00:00 AM,Mid Atlantic - Dominion,4297,760,3023,514
1/1/2016 12:00:00 AM,1/7/2016 12:00:00 AM,PJM RTO,9264,3021,4969,1274
