time,latitude,longitude,timezone,type,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility
2019-01-01 05:00:00,38.84833,-77.03417,America/New_York,historical,Foggy,fog,0,0,none,49.92,47.39,49.46,0.98,1010.5,6.38,8.61,212,1.0,0,1.193
2019-01-01 06:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,52.84,52.84,52.41,0.98,1008.8,8.0,12.73,213,1.0,0,2.434
2019-01-01 07:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,57.06,57.06,56.25,0.97,1008.4,10.15,17.78,224,1.0,0,8.257
2019-01-01 08:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,60.16,60.25,58.17,0.93,1007.7,10.94,21.73,224,0.89,0,8.466
2019-01-01 09:00:00,38.84833,-77.03417,America/New_York,historical,Mostly Cloudy,partly-cloudy-night,0,0,none,61.39,61.4,58.06,0.89,1007.2,11.28,17.26,233,0.74,0,8.716
2019-01-01 10:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-night,0,0,none,62.13,62.19,58.59,0.88,1007.0,8.08,15.19,238,0.45,0,8.656
2019-01-01 11:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,61.36,61.36,57.89,0.88,1007.9,6.21,8.51,241,0.3,0,8.897
2019-01-01 12:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-night,0,0,none,61.24,61.24,56.85,0.86,1009.4,6.01,6.01,241,0.38,0,8.451
2019-01-01 13:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-day,0,0,none,61.8,61.8,56.57,0.83,1010.0,6.49,6.49,244,0.33,0,8.158
2019-01-01 14:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-day,0,0,none,62.19,62.19,53.89,0.74,1012.1,7.58,9.19,262,0.26,1,8.084
2019-01-01 15:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-day,0,0,none,62.85,62.85,46.81,0.56,1013.2,8.7,12.38,283,0.19,1,8.258
2019-01-01 16:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-day,0,0,none,62.14,62.14,45.19,0.54,1014.0,10.83,15.89,303,0.1,2,9.524
2019-01-01 17:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-day,0,0,none,60.22,60.22,42.92,0.53,1014.6,10.28,16.35,315,0.14,3,9.352
2019-01-01 18:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-day,0,0,none,59.46,59.46,41.95,0.52,1015.1,9.16,13.95,319,0.33,2,9.445
2019-01-01 19:00:00,38.84833,-77.03417,America/New_York,historical,Mostly Cloudy,partly-cloudy-day,0,0,none,58.27,58.27,41.38,0.53,1016.3,12.78,16.22,323,0.64,1,9.274
2019-01-01 20:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-day,0,0,none,55.79,55.79,39.81,0.55,1017.7,11.98,17.03,322,0.51,1,9.264
2019-01-01 21:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-day,0,0,none,54.36,54.36,38.78,0.56,1018.9,9.55,13.69,326,0.29,0,9.273
2019-01-01 22:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,52.88,52.88,38.01,0.57,1019.8,9.19,13.88,330,0.21,0,9.38
2019-01-01 23:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,51.11,51.11,36.52,0.57,1021.0,7.46,8.55,325,0.07,0,9.349
2019-01-02 00:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,50.16,50.16,36.42,0.59,1022.2,5.13,5.35,334,0.06,0,9.454
2019-01-02 01:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,48.63,46.65,35.72,0.61,1023.1,4.93,4.93,348,0.14,0,9.535
2019-01-02 02:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-night,0,0,none,47.8,45.86,35.19,0.61,1023.3,4.65,4.65,353,0.34,0,9.556
2019-01-02 03:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-night,0,0,none,46.46,45.08,34.96,0.64,1023.1,3.63,4.67,359,0.51,0,9.593
2019-01-02 04:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,45.0,45.0,35.04,0.68,1023.0,2.61,3.51,6,0.12,0,9.485
2019-01-02 05:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,43.65,43.65,35.07,0.72,1023.2,1.91,3.04,17,0.11,0,9.206
2019-01-02 06:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,42.65,42.65,35.24,0.75,1023.3,2.58,4.17,26,0.12,0,9.439
2019-01-02 07:00:00,38.84833,-77.03417,America/New_York,historical,Partly Cloudy,partly-cloudy-night,0,0,none,42.34,40.82,35.05,0.75,1023.9,3.18,3.18,20,0.36,0,9.482
2019-01-02 08:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,41.04,41.04,35.82,0.82,1024.4,1.46,1.46,37,0.29,0,9.525
2019-01-02 09:00:00,38.84833,-77.03417,America/New_York,historical,Clear,clear-night,0,0,none,40.6,40.6,34.4,0.78,1024.7,0.82,1.48,137,0.24,0,9.543
2019-01-02 10:00:00,38.84833,-77.03417,America/New_York,historical,Mostly Cloudy,partly-cloudy-night,0,0,none,39.94,39.94,35.05,0.83,1024.8,0.5,1.25,182,0.82,0,8.967
2019-01-02 11:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,40.31,40.31,35.0,0.81,1025.4,0.26,1.08,183,1.0,0,9.461
2019-01-02 12:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,40.28,40.28,35.91,0.84,1026.3,0.29,1.48,128,1.0,0,9.441
2019-01-02 13:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,40.85,40.85,35.78,0.82,1026.7,1.22,2.01,180,1.0,0,9.438
2019-01-02 14:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,42.35,42.35,36.64,0.8,1027.4,0.31,1.25,115,1.0,0,9.562
2019-01-02 15:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,44.41,43.33,35.67,0.71,1027.5,3.02,3.02,151,1.0,1,9.572
2019-01-02 16:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,45.2,43.23,35.11,0.68,1026.8,4.12,4.12,153,1.0,1,9.526
2019-01-02 17:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,46.01,44.08,35.01,0.65,1026.1,4.23,4.9,155,1.0,2,9.497
2019-01-02 18:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,46.99,44.69,34.35,0.61,1025.4,4.99,4.99,146,1.0,2,9.481
2019-01-02 19:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,47.27,44.72,34.0,0.6,1025.2,5.46,5.91,166,1.0,1,9.493
2019-01-02 20:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,47.01,44.32,33.43,0.59,1023.7,5.61,5.61,147,1.0,1,9.528
2019-01-02 21:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,46.3,44.1,32.57,0.59,1023.2,4.68,5.1,152,1.0,0,9.596
2019-01-02 22:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,45.98,43.73,33.03,0.6,1022.4,4.66,5.02,152,1.0,0,9.678
2019-01-02 23:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,45.2,44.13,32.87,0.62,1022.0,3.11,3.64,133,1.0,0,8.754
2019-01-03 00:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,44.94,43.31,33.93,0.65,1022.0,3.67,3.67,127,1.0,0,8.773
2019-01-03 01:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,44.95,42.81,34.15,0.66,1021.6,4.29,4.29,139,1.0,0,8.718
2019-01-03 02:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,44.6,42.87,35.15,0.69,1020.6,3.72,4.47,149,1.0,0,8.745
2019-01-03 03:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,44.45,42.3,36.48,0.73,1019.8,4.2,4.2,159,1.0,0,8.116
2019-01-03 04:00:00,38.84833,-77.03417,America/New_York,historical,Overcast,cloudy,0,0,none,44.28,41.29,37.59,0.77,1018.2,5.32,5.32,163,0.98,0,8.223
