datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2579.702,True
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2484.239,True
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2456.683,True
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2417.841,True
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2429.567,True
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2464.898,True
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2502.045,True
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2608.890,True
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,RFC,MIDATL,PEP,PEPCO,2584.801,True
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,RFC,MIDATL,PEP,PEPCO,2566.756,True
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,RFC,MIDATL,PEP,PEPCO,2564.182,True
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,RFC,MIDATL,PEP,PEPCO,2562.874,True
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,RFC,MIDATL,PEP,PEPCO,2544.514,True
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,RFC,MIDATL,PEP,PEPCO,2464.049,True
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,RFC,MIDATL,PEP,PEPCO,2488.987,True
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,RFC,MIDATL,PEP,PEPCO,2506.546,True
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,RFC,MIDATL,PEP,PEPCO,2576.115,True
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,RFC,MIDATL,PEP,PEPCO,2790.267,True
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,RFC,MIDATL,PEP,PEPCO,2834.343,True
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,RFC,MIDATL,PEP,PEPCO,2844.135,True
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,RFC,MIDATL,PEP,PEPCO,2846.592,True
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,RFC,MIDATL,PEP,PEPCO,2770.881,True
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,RFC,MIDATL,PEP,PEPCO,2666.116,True
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,RFC,MIDATL,PEP,PEPCO,2518.334,True
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2445.203,True
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2334.310,True
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2295.224,True
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2306.982,True
1/2/2017 9:00:00 AM,1/2/2017 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2359.277,True
1/2/2017 10:00:00 AM,1/2/2017 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2475.733,True
1/2/2017 11:00:00 AM,1/2/2017 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2611.181,True
1/2/2017 12:00:00 PM,1/2/2017 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2679.597,True
1/2/2017 1:00:00 PM,1/2/2017 8:00:00 AM,RFC,MIDATL,PEP,PEPCO,2754.210,True
1/2/2017 2:00:00 PM,1/2/2017 9:00:00 AM,RFC,MIDATL,PEP,PEPCO,2867.397,True
1/2/2017 3:00:00 PM,1/2/2017 10:00:00 AM,RFC,MIDATL,PEP,PEPCO,2942.148,True
1/2/2017 4:00:00 PM,1/2/2017 11:00:00 AM,RFC,MIDATL,PEP,PEPCO,2998.385,True
1/2/2017 5:00:00 PM,1/2/2017 12:00:00 PM,RFC,MIDATL,PEP,PEPCO,3014.762,True
1/2/2017 6:00:00 PM,1/2/2017 1:00:00 PM,RFC,MIDATL,PEP,PEPCO,3028.102,True
1/2/2017 7:00:00 PM,1/2/2017 2:00:00 PM,RFC,MIDATL,PEP,PEPCO,2995.047,True
1/2/2017 8:00:00 PM,1/2/2017 3:00:00 PM,RFC,MIDATL,PEP,PEPCO,3005.447,True
1/2/2017 9:00:00 PM,1/2/2017 4:00:00 PM,RFC,MIDATL,PEP,PEPCO,3063.485,True
