forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
12/31/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Mid Atlantic - Dominion,3095,697,466,1932
12/31/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Western,6388,160,2624,3604
12/31/2018 12:00:00 AM,12/31/2018 12:00:00 AM,PJM RTO,9483,857,3090,5536
12/31/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Mid Atlantic - Dominion,3558,697,1598,1263
12/31/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Western,5405,160,2458,2787
12/31/2018 12:00:00 AM,1/1/2019 12:00:00 AM,PJM RTO,8963,857,4056,4050
12/31/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Mid Atlantic - Dominion,4208,697,2248,1263
12/31/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Western,5248,160,2494,2594
12/31/2018 12:00:00 AM,1/2/2019 12:00:00 AM,PJM RTO,9456,857,4742,3857
12/31/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Western,3750,160,1942,1648
12/31/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Mid Atlantic - Dominion,4352,697,2431,1224
12/31/2018 12:00:00 AM,1/3/2019 12:00:00 AM,PJM RTO,8102,857,4373,2872
12/31/2018 12:00:00 AM,1/4/2019 12:00:00 AM,Western,3280,160,1472,1648
12/31/2018 12:00:00 AM,1/4/2019 12:00:00 AM,Mid Atlantic - Dominion,4333,697,2416,1220
12/31/2018 12:00:00 AM,1/4/2019 12:00:00 AM,PJM RTO,7613,857,3888,2868
12/31/2018 12:00:00 AM,1/5/2019 12:00:00 AM,Western,3350,160,1554,1636
12/31/2018 12:00:00 AM,1/5/2019 12:00:00 AM,Mid Atlantic - Dominion,4703,1405,2097,1201
12/31/2018 12:00:00 AM,1/5/2019 12:00:00 AM,PJM RTO,8053,1565,3651,2837
12/31/2018 12:00:00 AM,1/6/2019 12:00:00 AM,Western,2672,160,876,1636
12/31/2018 12:00:00 AM,1/6/2019 12:00:00 AM,Mid Atlantic - Dominion,4661,1405,2055,1201
12/31/2018 12:00:00 AM,1/6/2019 12:00:00 AM,PJM RTO,7333,1565,2931,2837
12/30/2018 12:00:00 AM,12/30/2018 12:00:00 AM,Mid Atlantic - Dominion,4202,857,714,2631
12/30/2018 12:00:00 AM,12/30/2018 12:00:00 AM,Western,7938,514,4624,2800
12/30/2018 12:00:00 AM,12/30/2018 12:00:00 AM,PJM RTO,12140,1371,5338,5431
12/30/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Mid Atlantic - Dominion,3865,857,1672,1336
12/30/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Western,6231,514,2690,3027
12/30/2018 12:00:00 AM,12/31/2018 12:00:00 AM,PJM RTO,10096,1371,4362,4363
12/30/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Mid Atlantic - Dominion,3427,697,1598,1132
12/30/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Western,5811,514,2524,2773
12/30/2018 12:00:00 AM,1/1/2019 12:00:00 AM,PJM RTO,9238,1211,4122,3905
12/30/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Mid Atlantic - Dominion,4077,697,2248,1132
12/30/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Western,5041,514,1945,2582
12/30/2018 12:00:00 AM,1/2/2019 12:00:00 AM,PJM RTO,9118,1211,4193,3714
12/30/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Western,4088,514,1938,1636
12/30/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Mid Atlantic - Dominion,4249,697,2431,1121
12/30/2018 12:00:00 AM,1/3/2019 12:00:00 AM,PJM RTO,8337,1211,4369,2757
12/30/2018 12:00:00 AM,1/4/2019 12:00:00 AM,Western,3683,514,1533,1636
12/30/2018 12:00:00 AM,1/4/2019 12:00:00 AM,Mid Atlantic - Dominion,4232,697,2416,1119
12/30/2018 12:00:00 AM,1/4/2019 12:00:00 AM,PJM RTO,7915,1211,3949,2755
12/30/2018 12:00:00 AM,1/5/2019 12:00:00 AM,Western,3753,514,1615,1624
12/30/2018 12:00:00 AM,1/5/2019 12:00:00 AM,Mid Atlantic - Dominion,4602,1405,2097,1100
12/30/2018 12:00:00 AM,1/5/2019 12:00:00 AM,PJM RTO,8355,1919,3712,2724
12/29/2018 12:00:00 AM,12/29/2018 12:00:00 AM,Mid Atlantic - Dominion,4450,857,1505,2088
12/29/2018 12:00:00 AM,12/29/2018 12:00:00 AM,Western,9331,1814,4489,3028
12/29/2018 12:00:00 AM,12/29/2018 12:00:00 AM,PJM RTO,13781,2671,5994,5116
12/29/2018 12:00:00 AM,12/30/2018 12:00:00 AM,Mid Atlantic - Dominion,4282,857,1995,1430
12/29/2018 12:00:00 AM,12/30/2018 12:00:00 AM,Western,8123,1814,3864,2445
12/29/2018 12:00:00 AM,12/30/2018 12:00:00 AM,PJM RTO,12405,2671,5859,3875
12/29/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Mid Atlantic - Dominion,3813,857,1642,1314
12/29/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Western,6394,514,3203,2677
12/29/2018 12:00:00 AM,12/31/2018 12:00:00 AM,PJM RTO,10207,1371,4845,3991
12/29/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Mid Atlantic - Dominion,3397,697,1568,1132
12/29/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Western,5650,514,2561,2575
12/29/2018 12:00:00 AM,1/1/2019 12:00:00 AM,PJM RTO,9047,1211,4129,3707
12/29/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Mid Atlantic - Dominion,4047,697,2218,1132
12/29/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Western,5067,514,1978,2575
12/29/2018 12:00:00 AM,1/2/2019 12:00:00 AM,PJM RTO,9114,1211,4196,3707
12/29/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Mid Atlantic - Dominion,4249,697,2431,1121
12/29/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Western,5059,514,1976,2569
12/29/2018 12:00:00 AM,1/3/2019 12:00:00 AM,PJM RTO,9308,1211,4407,3690
12/29/2018 12:00:00 AM,1/4/2019 12:00:00 AM,Western,3714,514,1571,1629
12/29/2018 12:00:00 AM,1/4/2019 12:00:00 AM,Mid Atlantic - Dominion,4232,697,2416,1119
12/29/2018 12:00:00 AM,1/4/2019 12:00:00 AM,PJM RTO,7946,1211,3987,2748
12/28/2018 12:00:00 AM,12/28/2018 12:00:00 AM,Mid Atlantic - Dominion,6289,857,2607,2825
12/28/2018 12:00:00 AM,12/28/2018 12:00:00 AM,Western,10513,2094,5322,3097
12/28/2018 12:00:00 AM,12/28/2018 12:00:00 AM,PJM RTO,16802,2951,7929,5922
12/28/2018 12:00:00 AM,12/29/2018 12:00:00 AM,Mid Atlantic - Dominion,5278,857,2594,1827
12/28/2018 12:00:00 AM,12/29/2018 12:00:00 AM,Western,8350,1814,4058,2478
12/28/2018 12:00:00 AM,12/29/2018 12:00:00 AM,PJM RTO,13628,2671,6652,4305
12/28/2018 12:00:00 AM,12/30/2018 12:00:00 AM,Mid Atlantic - Dominion,4145,857,2002,1286
12/28/2018 12:00:00 AM,12/30/2018 12:00:00 AM,Western,5999,514,3486,1999
12/28/2018 12:00:00 AM,12/30/2018 12:00:00 AM,PJM RTO,10144,1371,5488,3285
12/28/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Mid Atlantic - Dominion,3724,857,1581,1286
12/28/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Western,5124,514,2715,1895
12/28/2018 12:00:00 AM,12/31/2018 12:00:00 AM,PJM RTO,8848,1371,4296,3181
12/28/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Western,2946,514,1940,492
12/28/2018 12:00:00 AM,1/1/2019 12:00:00 AM,Mid Atlantic - Dominion,2992,697,1190,1105
12/28/2018 12:00:00 AM,1/1/2019 12:00:00 AM,PJM RTO,5938,1211,3130,1597
12/28/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Western,2363,514,1357,492
12/28/2018 12:00:00 AM,1/2/2019 12:00:00 AM,Mid Atlantic - Dominion,3433,697,1631,1105
12/28/2018 12:00:00 AM,1/2/2019 12:00:00 AM,PJM RTO,5796,1211,2988,1597
12/28/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Western,2353,514,1355,484
12/28/2018 12:00:00 AM,1/3/2019 12:00:00 AM,Mid Atlantic - Dominion,3761,697,1968,1096
12/28/2018 12:00:00 AM,1/3/2019 12:00:00 AM,PJM RTO,6114,1211,3323,1580
