datetime_beginning_utc,datetime_beginning_ept,interface_limit_name,flow_mw,limit_mw
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,APSOUTH,2197,4600
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,BCPEP,3523,5700
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,BED-BLA,1123,1700
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,CENTRAL,-766,4400
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,EAST,3454,6100
1/1/2017 5:00:00 AM,1/1/2017 12:00:00 AM,WEST,2039,6200
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,APSOUTH,2142,4600
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,BCPEP,3392,5700
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,BED-BLA,1084,1700
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,CENTRAL,-541,4400
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,EAST,3022,6100
1/1/2017 6:00:00 AM,1/1/2017 1:00:00 AM,WEST,2136,6200
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,APSOUTH,2287,4600
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,BCPEP,3282,5700
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,BED-BLA,1024,1700
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,CENTRAL,-969,4400
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,EAST,2743,6100
1/1/2017 7:00:00 AM,1/1/2017 2:00:00 AM,WEST,1758,6200
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,APSOUTH,2334,4600
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,BCPEP,3123,5700
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,BED-BLA,1023,1700
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,CENTRAL,-1197,4400
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,EAST,2534,6100
1/1/2017 8:00:00 AM,1/1/2017 3:00:00 AM,WEST,1566,6200
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,APSOUTH,2247,4600
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,BCPEP,3177,5700
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,BED-BLA,1045,1700
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,CENTRAL,-1044,4400
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,EAST,2558,6100
1/1/2017 9:00:00 AM,1/1/2017 4:00:00 AM,WEST,1694,6200
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,APSOUTH,2026,4600
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,BCPEP,3044,5700
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,BED-BLA,1064,1700
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,CENTRAL,-790,4400
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,EAST,2825,6100
1/1/2017 10:00:00 AM,1/1/2017 5:00:00 AM,WEST,1872,6200
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,APSOUTH,1855,4600
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,BCPEP,3601,5700
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,BED-BLA,1081,1700
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,CENTRAL,-587,4400
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,EAST,2884,6100
1/1/2017 11:00:00 AM,1/1/2017 6:00:00 AM,WEST,2316,6200
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,APSOUTH,1740,4700
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,BCPEP,4074,5600
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,BED-BLA,1201,1800
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,CENTRAL,-128,3600
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,EAST,3001,5900
1/1/2017 12:00:00 PM,1/1/2017 7:00:00 AM,WEST,2862,5700
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,APSOUTH,1935,4700
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,BCPEP,3697,5600
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,BED-BLA,1167,1800
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,CENTRAL,-228,3600
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,EAST,3362,5900
1/1/2017 1:00:00 PM,1/1/2017 8:00:00 AM,WEST,2868,5700
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,APSOUTH,1962,4700
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,BCPEP,3535,5600
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,BED-BLA,1156,1800
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,CENTRAL,-149,3600
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,EAST,3311,5900
1/1/2017 2:00:00 PM,1/1/2017 9:00:00 AM,WEST,2809,5700
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,APSOUTH,1789,4700
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,BCPEP,3817,5600
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,BED-BLA,1099,1800
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,CENTRAL,-714,3600
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,EAST,2784,5900
1/1/2017 3:00:00 PM,1/1/2017 10:00:00 AM,WEST,2416,5700
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,APSOUTH,1686,4700
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,BCPEP,3864,5600
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,BED-BLA,1106,1800
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,CENTRAL,-791,3600
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,EAST,2936,5900
1/1/2017 4:00:00 PM,1/1/2017 11:00:00 AM,WEST,2380,5700
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,APSOUTH,1584,4700
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,BCPEP,3794,5600
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,BED-BLA,1034,1800
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,CENTRAL,-797,3600
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,EAST,3067,5900
1/1/2017 5:00:00 PM,1/1/2017 12:00:00 PM,WEST,2327,5700
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,APSOUTH,1462,4700
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,BCPEP,3709,5600
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,BED-BLA,1038,1800
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,CENTRAL,-695,3600
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,EAST,3126,5900
1/1/2017 6:00:00 PM,1/1/2017 1:00:00 PM,WEST,2221,5700
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,APSOUTH,1422,4700
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,BCPEP,3810,5600
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,BED-BLA,1080,1800
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,CENTRAL,-685,3600
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,EAST,2926,5900
1/1/2017 7:00:00 PM,1/1/2017 2:00:00 PM,WEST,2271,5700
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,APSOUTH,1290,4700
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,BCPEP,3705,5600
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,BED-BLA,1084,1800
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,CENTRAL,-502,3600
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,EAST,3149,5900
1/1/2017 8:00:00 PM,1/1/2017 3:00:00 PM,WEST,2457,5700
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,APSOUTH,1377,4700
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,BCPEP,4295,5600
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,BED-BLA,1063,1800
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,CENTRAL,106,3600
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,EAST,3769,5900
1/1/2017 9:00:00 PM,1/1/2017 4:00:00 PM,WEST,3136,5700
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,APSOUTH,1280,4700
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,BCPEP,4836,5600
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,BED-BLA,1123,1800
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,CENTRAL,466,3600
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,EAST,3983,5900
1/1/2017 10:00:00 PM,1/1/2017 5:00:00 PM,WEST,3768,5700
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,APSOUTH,1083,4700
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,BCPEP,4694,5600
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,BED-BLA,1016,1800
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,CENTRAL,316,3600
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,EAST,3964,5900
1/1/2017 11:00:00 PM,1/1/2017 6:00:00 PM,WEST,3297,5700
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,APSOUTH,1164,4700
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,BCPEP,4741,5600
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,BED-BLA,1146,1800
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,CENTRAL,889,3600
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,EAST,4620,5900
1/2/2017 12:00:00 AM,1/1/2017 7:00:00 PM,WEST,3724,5700
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,APSOUTH,1267,4700
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,BCPEP,5076,5600
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,BED-BLA,1256,1800
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,CENTRAL,1032,3600
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,EAST,5079,5900
1/2/2017 1:00:00 AM,1/1/2017 8:00:00 PM,WEST,4008,5700
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,APSOUTH,1728,4700
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,BCPEP,4971,5600
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,BED-BLA,1377,1800
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,CENTRAL,891,3600
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,EAST,4673,5900
1/2/2017 2:00:00 AM,1/1/2017 9:00:00 PM,WEST,3904,5700
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,APSOUTH,1813,4700
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,BCPEP,4462,5600
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,BED-BLA,1367,1800
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,CENTRAL,753,3600
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,EAST,4176,5900
1/2/2017 3:00:00 AM,1/1/2017 10:00:00 PM,WEST,3744,5700
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,APSOUTH,1873,4600
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,BCPEP,4251,5700
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,BED-BLA,1194,1700
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,CENTRAL,806,4400
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,EAST,3878,6100
1/2/2017 4:00:00 AM,1/1/2017 11:00:00 PM,WEST,3562,6200
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,APSOUTH,1603,4600
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,BCPEP,4330,5700
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,BED-BLA,1310,1700
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,CENTRAL,1739,4400
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,EAST,4871,6100
1/2/2017 5:00:00 AM,1/2/2017 12:00:00 AM,WEST,4274,6200
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,APSOUTH,1623,4600
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,BCPEP,4063,5700
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,BED-BLA,1186,1700
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,CENTRAL,1328,4400
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,EAST,4503,6100
1/2/2017 6:00:00 AM,1/2/2017 1:00:00 AM,WEST,3712,6200
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,APSOUTH,1561,4600
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,BCPEP,4150,5700
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,BED-BLA,1137,1700
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,CENTRAL,647,4400
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,EAST,4149,6100
1/2/2017 7:00:00 AM,1/2/2017 2:00:00 AM,WEST,3254,6200
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,APSOUTH,1502,4600
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,BCPEP,4234,5700
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,BED-BLA,1135,1700
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,CENTRAL,720,4400
1/2/2017 8:00:00 AM,1/2/2017 3:00:00 AM,EAST,4002,6100
