forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
12/31/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Mid Atlantic - Dominion,4804,304,650,3850
12/31/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Western,9612,1656,2955,5001
12/31/2017 12:00:00 AM,12/31/2017 12:00:00 AM,PJM RTO,14416,1960,3605,8851
12/31/2017 12:00:00 AM,1/1/2018 12:00:00 AM,Mid Atlantic - Dominion,2311,304,-114,2121
12/31/2017 12:00:00 AM,1/1/2018 12:00:00 AM,Western,6660,1656,2171,2833
12/31/2017 12:00:00 AM,1/1/2018 12:00:00 AM,PJM RTO,8971,1960,2057,4954
12/31/2017 12:00:00 AM,1/2/2018 12:00:00 AM,Mid Atlantic - Dominion,2244,304,-112,2052
12/31/2017 12:00:00 AM,1/2/2018 12:00:00 AM,Western,6578,1656,2505,2417
12/31/2017 12:00:00 AM,1/2/2018 12:00:00 AM,PJM RTO,8822,1960,2393,4469
12/31/2017 12:00:00 AM,1/3/2018 12:00:00 AM,Mid Atlantic - Dominion,1633,304,164,1165
12/31/2017 12:00:00 AM,1/3/2018 12:00:00 AM,Western,4813,1656,1627,1530
12/31/2017 12:00:00 AM,1/3/2018 12:00:00 AM,PJM RTO,6446,1960,1791,2695
12/31/2017 12:00:00 AM,1/4/2018 12:00:00 AM,Mid Atlantic - Dominion,1519,304,292,923
12/31/2017 12:00:00 AM,1/4/2018 12:00:00 AM,Western,2963,1656,517,790
12/31/2017 12:00:00 AM,1/4/2018 12:00:00 AM,PJM RTO,4482,1960,809,1713
12/31/2017 12:00:00 AM,1/5/2018 12:00:00 AM,Mid Atlantic - Dominion,1350,304,141,905
12/31/2017 12:00:00 AM,1/5/2018 12:00:00 AM,Western,3178,1776,612,790
12/31/2017 12:00:00 AM,1/5/2018 12:00:00 AM,PJM RTO,4528,2080,753,1695
12/31/2017 12:00:00 AM,1/6/2018 12:00:00 AM,Mid Atlantic - Dominion,1512,304,331,877
12/31/2017 12:00:00 AM,1/6/2018 12:00:00 AM,Western,3749,1546,1641,562
12/31/2017 12:00:00 AM,1/6/2018 12:00:00 AM,PJM RTO,5261,1850,1972,1439
12/30/2017 12:00:00 AM,12/30/2017 12:00:00 AM,Mid Atlantic - Dominion,5005,304,789,3912
12/30/2017 12:00:00 AM,12/30/2017 12:00:00 AM,Western,10669,1956,3441,5272
12/30/2017 12:00:00 AM,12/30/2017 12:00:00 AM,PJM RTO,15674,2260,4230,9184
12/30/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Mid Atlantic - Dominion,2580,304,-124,2400
12/30/2017 12:00:00 AM,12/31/2017 12:00:00 AM,Western,8469,1956,3192,3321
12/30/2017 12:00:00 AM,12/31/2017 12:00:00 AM,PJM RTO,11049,2260,3068,5721
12/30/2017 12:00:00 AM,1/1/2018 12:00:00 AM,Mid Atlantic - Dominion,1854,304,-114,1664
12/30/2017 12:00:00 AM,1/1/2018 12:00:00 AM,Western,6959,1956,2171,2832
12/30/2017 12:00:00 AM,1/1/2018 12:00:00 AM,PJM RTO,8813,2260,2057,4496
12/30/2017 12:00:00 AM,1/2/2018 12:00:00 AM,Mid Atlantic - Dominion,1854,304,-112,1662
12/30/2017 12:00:00 AM,1/2/2018 12:00:00 AM,Western,6577,1656,2505,2416
12/30/2017 12:00:00 AM,1/2/2018 12:00:00 AM,PJM RTO,8431,1960,2393,4078
12/30/2017 12:00:00 AM,1/3/2018 12:00:00 AM,Mid Atlantic - Dominion,1459,304,164,991
12/30/2017 12:00:00 AM,1/3/2018 12:00:00 AM,Western,4632,1656,1627,1349
