Day,Hour,IsDuplicateHour,InterfaceLimitName,FlowMW,LimitMW
2019-11-21,22,,BCPEP,3640,5200
2019-11-21,22,,BED-BLA,1053,1600
2019-11-21,22,,CENTRAL,332,3200
2019-11-21,22,,EAST,3815,6300
2019-11-21,22,,WEST,1593,5700
2019-11-21,23,,APSOUTH,2552,3600
2019-11-21,23,,BCPEP,3141,5200
2019-11-21,23,,BED-BLA,927,1600
2019-11-21,23,,CENTRAL,124,3200
2019-11-21,23,,EAST,3336,6300
2019-11-21,23,,WEST,1156,5700
2019-11-21,24,,APSOUTH,3029,3500
2019-11-21,24,,BCPEP,3116,4900
2019-11-21,24,,BED-BLA,1018,1600
2019-11-21,24,,CENTRAL,232,3500
2019-11-21,24,,EAST,2858,5500
2019-11-21,24,,WEST,1437,5900
