datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,MIDATL,22894.8
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,MIDATL,21659.7
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,MIDATL,21000.3
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,MIDATL,20974.4
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,MIDATL,21489.6
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,MIDATL,23229.3
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,MIDATL,26346.3
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,MIDATL,28511.5
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,11/1/2019 1:00:00 PM,11/1/2019 9:00:00 AM,MIDATL,28744.9
11/1/2019 1:00:00 PM,11/1/2019 9:00:00 AM,11/1/2019 2:00:00 PM,11/1/2019 10:00:00 AM,MIDATL,28240.3
11/1/2019 2:00:00 PM,11/1/2019 10:00:00 AM,11/1/2019 3:00:00 PM,11/1/2019 11:00:00 AM,MIDATL,27820.1
11/1/2019 3:00:00 PM,11/1/2019 11:00:00 AM,11/1/2019 4:00:00 PM,11/1/2019 12:00:00 PM,MIDATL,27347.5
11/1/2019 4:00:00 PM,11/1/2019 12:00:00 PM,11/1/2019 5:00:00 PM,11/1/2019 1:00:00 PM,MIDATL,26904.0
11/1/2019 5:00:00 PM,11/1/2019 1:00:00 PM,11/1/2019 6:00:00 PM,11/1/2019 2:00:00 PM,MIDATL,26649.4
11/1/2019 6:00:00 PM,11/1/2019 2:00:00 PM,11/1/2019 7:00:00 PM,11/1/2019 3:00:00 PM,MIDATL,26475.3
11/1/2019 7:00:00 PM,11/1/2019 3:00:00 PM,11/1/2019 8:00:00 PM,11/1/2019 4:00:00 PM,MIDATL,26691.8
11/1/2019 8:00:00 PM,11/1/2019 4:00:00 PM,11/1/2019 9:00:00 PM,11/1/2019 5:00:00 PM,MIDATL,27454.9
11/1/2019 9:00:00 PM,11/1/2019 5:00:00 PM,11/1/2019 10:00:00 PM,11/1/2019 6:00:00 PM,MIDATL,28432.2
11/1/2019 10:00:00 PM,11/1/2019 6:00:00 PM,11/1/2019 11:00:00 PM,11/1/2019 7:00:00 PM,MIDATL,29803.9
11/1/2019 11:00:00 PM,11/1/2019 7:00:00 PM,11/2/2019 12:00:00 AM,11/1/2019 8:00:00 PM,MIDATL,29879.7
11/2/2019 12:00:00 AM,11/1/2019 8:00:00 PM,11/2/2019 1:00:00 AM,11/1/2019 9:00:00 PM,MIDATL,29369.9
11/2/2019 1:00:00 AM,11/1/2019 9:00:00 PM,11/2/2019 2:00:00 AM,11/1/2019 10:00:00 PM,MIDATL,28509.6
11/2/2019 2:00:00 AM,11/1/2019 10:00:00 PM,11/2/2019 3:00:00 AM,11/1/2019 11:00:00 PM,MIDATL,27155.9
11/2/2019 3:00:00 AM,11/1/2019 11:00:00 PM,11/2/2019 4:00:00 AM,11/2/2019 12:00:00 AM,MIDATL,25679.1
