evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 8:00:00 AM,11/22/2019 3:00:00 AM,11/22/2019 9:00:00 AM,11/22/2019 4:00:00 AM,PEPCO/MIDATL,2456
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 9:00:00 AM,11/22/2019 4:00:00 AM,11/22/2019 10:00:00 AM,11/22/2019 5:00:00 AM,PEPCO/MIDATL,2556
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 10:00:00 AM,11/22/2019 5:00:00 AM,11/22/2019 11:00:00 AM,11/22/2019 6:00:00 AM,PEPCO/MIDATL,2811
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 11:00:00 AM,11/22/2019 6:00:00 AM,11/22/2019 12:00:00 PM,11/22/2019 7:00:00 AM,PEPCO/MIDATL,3181
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 12:00:00 PM,11/22/2019 7:00:00 AM,11/22/2019 1:00:00 PM,11/22/2019 8:00:00 AM,PEPCO/MIDATL,3382
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 1:00:00 PM,11/22/2019 8:00:00 AM,11/22/2019 2:00:00 PM,11/22/2019 9:00:00 AM,PEPCO/MIDATL,3382
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 2:00:00 PM,11/22/2019 9:00:00 AM,11/22/2019 3:00:00 PM,11/22/2019 10:00:00 AM,PEPCO/MIDATL,3328
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 3:00:00 PM,11/22/2019 10:00:00 AM,11/22/2019 4:00:00 PM,11/22/2019 11:00:00 AM,PEPCO/MIDATL,3276
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 4:00:00 PM,11/22/2019 11:00:00 AM,11/22/2019 5:00:00 PM,11/22/2019 12:00:00 PM,PEPCO/MIDATL,3236
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 5:00:00 PM,11/22/2019 12:00:00 PM,11/22/2019 6:00:00 PM,11/22/2019 1:00:00 PM,PEPCO/MIDATL,3207
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 6:00:00 PM,11/22/2019 1:00:00 PM,11/22/2019 7:00:00 PM,11/22/2019 2:00:00 PM,PEPCO/MIDATL,3204
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 7:00:00 PM,11/22/2019 2:00:00 PM,11/22/2019 8:00:00 PM,11/22/2019 3:00:00 PM,PEPCO/MIDATL,3213
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 8:00:00 PM,11/22/2019 3:00:00 PM,11/22/2019 9:00:00 PM,11/22/2019 4:00:00 PM,PEPCO/MIDATL,3278
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 9:00:00 PM,11/22/2019 4:00:00 PM,11/22/2019 10:00:00 PM,11/22/2019 5:00:00 PM,PEPCO/MIDATL,3396
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 10:00:00 PM,11/22/2019 5:00:00 PM,11/22/2019 11:00:00 PM,11/22/2019 6:00:00 PM,PEPCO/MIDATL,3584
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 11:00:00 PM,11/22/2019 6:00:00 PM,11/23/2019 12:00:00 AM,11/22/2019 7:00:00 PM,PEPCO/MIDATL,3548
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 12:00:00 AM,11/22/2019 7:00:00 PM,11/23/2019 1:00:00 AM,11/22/2019 8:00:00 PM,PEPCO/MIDATL,3442
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 1:00:00 AM,11/22/2019 8:00:00 PM,11/23/2019 2:00:00 AM,11/22/2019 9:00:00 PM,PEPCO/MIDATL,3304
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 2:00:00 AM,11/22/2019 9:00:00 PM,11/23/2019 3:00:00 AM,11/22/2019 10:00:00 PM,PEPCO/MIDATL,3192
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 3:00:00 AM,11/22/2019 10:00:00 PM,11/23/2019 4:00:00 AM,11/22/2019 11:00:00 PM,PEPCO/MIDATL,3045
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 4:00:00 AM,11/22/2019 11:00:00 PM,11/23/2019 5:00:00 AM,11/23/2019 12:00:00 AM,PEPCO/MIDATL,2907
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 5:00:00 AM,11/23/2019 12:00:00 AM,11/23/2019 6:00:00 AM,11/23/2019 1:00:00 AM,PEPCO/MIDATL,2817
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 6:00:00 AM,11/23/2019 1:00:00 AM,11/23/2019 7:00:00 AM,11/23/2019 2:00:00 AM,PEPCO/MIDATL,2739
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 7:00:00 AM,11/23/2019 2:00:00 AM,11/23/2019 8:00:00 AM,11/23/2019 3:00:00 AM,PEPCO/MIDATL,2692
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 8:00:00 AM,11/23/2019 3:00:00 AM,11/23/2019 9:00:00 AM,11/23/2019 4:00:00 AM,PEPCO/MIDATL,2685
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 9:00:00 AM,11/23/2019 4:00:00 AM,11/23/2019 10:00:00 AM,11/23/2019 5:00:00 AM,PEPCO/MIDATL,2727
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 10:00:00 AM,11/23/2019 5:00:00 AM,11/23/2019 11:00:00 AM,11/23/2019 6:00:00 AM,PEPCO/MIDATL,2818
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 11:00:00 AM,11/23/2019 6:00:00 AM,11/23/2019 12:00:00 PM,11/23/2019 7:00:00 AM,PEPCO/MIDATL,2961
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 12:00:00 PM,11/23/2019 7:00:00 AM,11/23/2019 1:00:00 PM,11/23/2019 8:00:00 AM,PEPCO/MIDATL,3095
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 1:00:00 PM,11/23/2019 8:00:00 AM,11/23/2019 2:00:00 PM,11/23/2019 9:00:00 AM,PEPCO/MIDATL,3203
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 2:00:00 PM,11/23/2019 9:00:00 AM,11/23/2019 3:00:00 PM,11/23/2019 10:00:00 AM,PEPCO/MIDATL,3234
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 3:00:00 PM,11/23/2019 10:00:00 AM,11/23/2019 4:00:00 PM,11/23/2019 11:00:00 AM,PEPCO/MIDATL,3209
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 4:00:00 PM,11/23/2019 11:00:00 AM,11/23/2019 5:00:00 PM,11/23/2019 12:00:00 PM,PEPCO/MIDATL,3159
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 5:00:00 PM,11/23/2019 12:00:00 PM,11/23/2019 6:00:00 PM,11/23/2019 1:00:00 PM,PEPCO/MIDATL,3110
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 6:00:00 PM,11/23/2019 1:00:00 PM,11/23/2019 7:00:00 PM,11/23/2019 2:00:00 PM,PEPCO/MIDATL,3066
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 7:00:00 PM,11/23/2019 2:00:00 PM,11/23/2019 8:00:00 PM,11/23/2019 3:00:00 PM,PEPCO/MIDATL,3045
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 8:00:00 PM,11/23/2019 3:00:00 PM,11/23/2019 9:00:00 PM,11/23/2019 4:00:00 PM,PEPCO/MIDATL,3082
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 9:00:00 PM,11/23/2019 4:00:00 PM,11/23/2019 10:00:00 PM,11/23/2019 5:00:00 PM,PEPCO/MIDATL,3192
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 10:00:00 PM,11/23/2019 5:00:00 PM,11/23/2019 11:00:00 PM,11/23/2019 6:00:00 PM,PEPCO/MIDATL,3400
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/23/2019 11:00:00 PM,11/23/2019 6:00:00 PM,11/24/2019 12:00:00 AM,11/23/2019 7:00:00 PM,PEPCO/MIDATL,3428
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 12:00:00 AM,11/23/2019 7:00:00 PM,11/24/2019 1:00:00 AM,11/23/2019 8:00:00 PM,PEPCO/MIDATL,3370
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 1:00:00 AM,11/23/2019 8:00:00 PM,11/24/2019 2:00:00 AM,11/23/2019 9:00:00 PM,PEPCO/MIDATL,3284
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 2:00:00 AM,11/23/2019 9:00:00 PM,11/24/2019 3:00:00 AM,11/23/2019 10:00:00 PM,PEPCO/MIDATL,3188
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 3:00:00 AM,11/23/2019 10:00:00 PM,11/24/2019 4:00:00 AM,11/23/2019 11:00:00 PM,PEPCO/MIDATL,3057
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 4:00:00 AM,11/23/2019 11:00:00 PM,11/24/2019 5:00:00 AM,11/24/2019 12:00:00 AM,PEPCO/MIDATL,2920
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 5:00:00 AM,11/24/2019 12:00:00 AM,11/24/2019 6:00:00 AM,11/24/2019 1:00:00 AM,PEPCO/MIDATL,2762
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 6:00:00 AM,11/24/2019 1:00:00 AM,11/24/2019 7:00:00 AM,11/24/2019 2:00:00 AM,PEPCO/MIDATL,2663
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 7:00:00 AM,11/24/2019 2:00:00 AM,11/24/2019 8:00:00 AM,11/24/2019 3:00:00 AM,PEPCO/MIDATL,2601
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 8:00:00 AM,11/24/2019 3:00:00 AM,11/24/2019 9:00:00 AM,11/24/2019 4:00:00 AM,PEPCO/MIDATL,2573
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 9:00:00 AM,11/24/2019 4:00:00 AM,11/24/2019 10:00:00 AM,11/24/2019 5:00:00 AM,PEPCO/MIDATL,2591
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 10:00:00 AM,11/24/2019 5:00:00 AM,11/24/2019 11:00:00 AM,11/24/2019 6:00:00 AM,PEPCO/MIDATL,2664
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 11:00:00 AM,11/24/2019 6:00:00 AM,11/24/2019 12:00:00 PM,11/24/2019 7:00:00 AM,PEPCO/MIDATL,2770
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 12:00:00 PM,11/24/2019 7:00:00 AM,11/24/2019 1:00:00 PM,11/24/2019 8:00:00 AM,PEPCO/MIDATL,2862
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 1:00:00 PM,11/24/2019 8:00:00 AM,11/24/2019 2:00:00 PM,11/24/2019 9:00:00 AM,PEPCO/MIDATL,2955
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 2:00:00 PM,11/24/2019 9:00:00 AM,11/24/2019 3:00:00 PM,11/24/2019 10:00:00 AM,PEPCO/MIDATL,3027
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 3:00:00 PM,11/24/2019 10:00:00 AM,11/24/2019 4:00:00 PM,11/24/2019 11:00:00 AM,PEPCO/MIDATL,3046
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 4:00:00 PM,11/24/2019 11:00:00 AM,11/24/2019 5:00:00 PM,11/24/2019 12:00:00 PM,PEPCO/MIDATL,3038
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 5:00:00 PM,11/24/2019 12:00:00 PM,11/24/2019 6:00:00 PM,11/24/2019 1:00:00 PM,PEPCO/MIDATL,3033
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 6:00:00 PM,11/24/2019 1:00:00 PM,11/24/2019 7:00:00 PM,11/24/2019 2:00:00 PM,PEPCO/MIDATL,3039
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 7:00:00 PM,11/24/2019 2:00:00 PM,11/24/2019 8:00:00 PM,11/24/2019 3:00:00 PM,PEPCO/MIDATL,3056
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 8:00:00 PM,11/24/2019 3:00:00 PM,11/24/2019 9:00:00 PM,11/24/2019 4:00:00 PM,PEPCO/MIDATL,3111
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 9:00:00 PM,11/24/2019 4:00:00 PM,11/24/2019 10:00:00 PM,11/24/2019 5:00:00 PM,PEPCO/MIDATL,3243
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 10:00:00 PM,11/24/2019 5:00:00 PM,11/24/2019 11:00:00 PM,11/24/2019 6:00:00 PM,PEPCO/MIDATL,3457
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/24/2019 11:00:00 PM,11/24/2019 6:00:00 PM,11/25/2019 12:00:00 AM,11/24/2019 7:00:00 PM,PEPCO/MIDATL,3525
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 12:00:00 AM,11/24/2019 7:00:00 PM,11/25/2019 1:00:00 AM,11/24/2019 8:00:00 PM,PEPCO/MIDATL,3510
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 1:00:00 AM,11/24/2019 8:00:00 PM,11/25/2019 2:00:00 AM,11/24/2019 9:00:00 PM,PEPCO/MIDATL,3445
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 2:00:00 AM,11/24/2019 9:00:00 PM,11/25/2019 3:00:00 AM,11/24/2019 10:00:00 PM,PEPCO/MIDATL,3330
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 3:00:00 AM,11/24/2019 10:00:00 PM,11/25/2019 4:00:00 AM,11/24/2019 11:00:00 PM,PEPCO/MIDATL,3166
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 4:00:00 AM,11/24/2019 11:00:00 PM,11/25/2019 5:00:00 AM,11/25/2019 12:00:00 AM,PEPCO/MIDATL,2986
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 5:00:00 AM,11/25/2019 12:00:00 AM,11/25/2019 6:00:00 AM,11/25/2019 1:00:00 AM,PEPCO/MIDATL,2829
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 6:00:00 AM,11/25/2019 1:00:00 AM,11/25/2019 7:00:00 AM,11/25/2019 2:00:00 AM,PEPCO/MIDATL,2761
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 7:00:00 AM,11/25/2019 2:00:00 AM,11/25/2019 8:00:00 AM,11/25/2019 3:00:00 AM,PEPCO/MIDATL,2745
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 8:00:00 AM,11/25/2019 3:00:00 AM,11/25/2019 9:00:00 AM,11/25/2019 4:00:00 AM,PEPCO/MIDATL,2779
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 9:00:00 AM,11/25/2019 4:00:00 AM,11/25/2019 10:00:00 AM,11/25/2019 5:00:00 AM,PEPCO/MIDATL,2915
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 10:00:00 AM,11/25/2019 5:00:00 AM,11/25/2019 11:00:00 AM,11/25/2019 6:00:00 AM,PEPCO/MIDATL,3211
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 11:00:00 AM,11/25/2019 6:00:00 AM,11/25/2019 12:00:00 PM,11/25/2019 7:00:00 AM,PEPCO/MIDATL,3576
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 12:00:00 PM,11/25/2019 7:00:00 AM,11/25/2019 1:00:00 PM,11/25/2019 8:00:00 AM,PEPCO/MIDATL,3730
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 1:00:00 PM,11/25/2019 8:00:00 AM,11/25/2019 2:00:00 PM,11/25/2019 9:00:00 AM,PEPCO/MIDATL,3675
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 2:00:00 PM,11/25/2019 9:00:00 AM,11/25/2019 3:00:00 PM,11/25/2019 10:00:00 AM,PEPCO/MIDATL,3574
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 3:00:00 PM,11/25/2019 10:00:00 AM,11/25/2019 4:00:00 PM,11/25/2019 11:00:00 AM,PEPCO/MIDATL,3489
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 4:00:00 PM,11/25/2019 11:00:00 AM,11/25/2019 5:00:00 PM,11/25/2019 12:00:00 PM,PEPCO/MIDATL,3423
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 5:00:00 PM,11/25/2019 12:00:00 PM,11/25/2019 6:00:00 PM,11/25/2019 1:00:00 PM,PEPCO/MIDATL,3385
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 6:00:00 PM,11/25/2019 1:00:00 PM,11/25/2019 7:00:00 PM,11/25/2019 2:00:00 PM,PEPCO/MIDATL,3372
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 7:00:00 PM,11/25/2019 2:00:00 PM,11/25/2019 8:00:00 PM,11/25/2019 3:00:00 PM,PEPCO/MIDATL,3371
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 8:00:00 PM,11/25/2019 3:00:00 PM,11/25/2019 9:00:00 PM,11/25/2019 4:00:00 PM,PEPCO/MIDATL,3436
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 9:00:00 PM,11/25/2019 4:00:00 PM,11/25/2019 10:00:00 PM,11/25/2019 5:00:00 PM,PEPCO/MIDATL,3578
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 10:00:00 PM,11/25/2019 5:00:00 PM,11/25/2019 11:00:00 PM,11/25/2019 6:00:00 PM,PEPCO/MIDATL,3801
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/25/2019 11:00:00 PM,11/25/2019 6:00:00 PM,11/26/2019 12:00:00 AM,11/25/2019 7:00:00 PM,PEPCO/MIDATL,3790
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/26/2019 12:00:00 AM,11/25/2019 7:00:00 PM,11/26/2019 1:00:00 AM,11/25/2019 8:00:00 PM,PEPCO/MIDATL,3705
