evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 5:00:00 AM,11/21/2019 12:00:00 AM,11/21/2019 6:00:00 AM,11/21/2019 1:00:00 AM,MID_ATLANTIC_REGION,26497
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 6:00:00 AM,11/21/2019 1:00:00 AM,11/21/2019 7:00:00 AM,11/21/2019 2:00:00 AM,MID_ATLANTIC_REGION,25665
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 7:00:00 AM,11/21/2019 2:00:00 AM,11/21/2019 8:00:00 AM,11/21/2019 3:00:00 AM,MID_ATLANTIC_REGION,25625
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 8:00:00 AM,11/21/2019 3:00:00 AM,11/21/2019 9:00:00 AM,11/21/2019 4:00:00 AM,MID_ATLANTIC_REGION,25579
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 9:00:00 AM,11/21/2019 4:00:00 AM,11/21/2019 10:00:00 AM,11/21/2019 5:00:00 AM,MID_ATLANTIC_REGION,26544
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 10:00:00 AM,11/21/2019 5:00:00 AM,11/21/2019 11:00:00 AM,11/21/2019 6:00:00 AM,MID_ATLANTIC_REGION,28809
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 11:00:00 AM,11/21/2019 6:00:00 AM,11/21/2019 12:00:00 PM,11/21/2019 7:00:00 AM,MID_ATLANTIC_REGION,32292
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 12:00:00 PM,11/21/2019 7:00:00 AM,11/21/2019 1:00:00 PM,11/21/2019 8:00:00 AM,MID_ATLANTIC_REGION,33479
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 1:00:00 PM,11/21/2019 8:00:00 AM,11/21/2019 2:00:00 PM,11/21/2019 9:00:00 AM,MID_ATLANTIC_REGION,32375
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 2:00:00 PM,11/21/2019 9:00:00 AM,11/21/2019 3:00:00 PM,11/21/2019 10:00:00 AM,MID_ATLANTIC_REGION,31153
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 3:00:00 PM,11/21/2019 10:00:00 AM,11/21/2019 4:00:00 PM,11/21/2019 11:00:00 AM,MID_ATLANTIC_REGION,30532
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 4:00:00 PM,11/21/2019 11:00:00 AM,11/21/2019 5:00:00 PM,11/21/2019 12:00:00 PM,MID_ATLANTIC_REGION,30070
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 5:00:00 PM,11/21/2019 12:00:00 PM,11/21/2019 6:00:00 PM,11/21/2019 1:00:00 PM,MID_ATLANTIC_REGION,29651
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 6:00:00 PM,11/21/2019 1:00:00 PM,11/21/2019 7:00:00 PM,11/21/2019 2:00:00 PM,MID_ATLANTIC_REGION,29665
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 7:00:00 PM,11/21/2019 2:00:00 PM,11/21/2019 8:00:00 PM,11/21/2019 3:00:00 PM,MID_ATLANTIC_REGION,29839
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 8:00:00 PM,11/21/2019 3:00:00 PM,11/21/2019 9:00:00 PM,11/21/2019 4:00:00 PM,MID_ATLANTIC_REGION,30411
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 9:00:00 PM,11/21/2019 4:00:00 PM,11/21/2019 10:00:00 PM,11/21/2019 5:00:00 PM,MID_ATLANTIC_REGION,31822
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 10:00:00 PM,11/21/2019 5:00:00 PM,11/21/2019 11:00:00 PM,11/21/2019 6:00:00 PM,MID_ATLANTIC_REGION,33727
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 11:00:00 PM,11/21/2019 6:00:00 PM,11/22/2019 12:00:00 AM,11/21/2019 7:00:00 PM,MID_ATLANTIC_REGION,33659
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 12:00:00 AM,11/21/2019 7:00:00 PM,11/22/2019 1:00:00 AM,11/21/2019 8:00:00 PM,MID_ATLANTIC_REGION,33096
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 1:00:00 AM,11/21/2019 8:00:00 PM,11/22/2019 2:00:00 AM,11/21/2019 9:00:00 PM,MID_ATLANTIC_REGION,32231
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 2:00:00 AM,11/21/2019 9:00:00 PM,11/22/2019 3:00:00 AM,11/21/2019 10:00:00 PM,MID_ATLANTIC_REGION,30715
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/22/2019 3:00:00 AM,11/21/2019 10:00:00 PM,11/22/2019 4:00:00 AM,11/21/2019 11:00:00 PM,MID_ATLANTIC_REGION,28566
