Day,Hour,IsDuplicateHour,InterfaceLimitName,FlowMW,LimitMW
2019-11-20,14,,EAST,2857,6900
2019-11-20,14,,WEST,1440,5900
2019-11-20,15,,APSOUTH,2180,3600
2019-11-20,15,,BCPEP,3129,5600
2019-11-20,15,,BED-BLA,1018,1700
2019-11-20,15,,CENTRAL,458,3200
2019-11-20,15,,EAST,3116,6900
2019-11-20,15,,WEST,1713,5900
2019-11-20,16,,APSOUTH,2246,3600
2019-11-20,16,,BCPEP,3318,5600
2019-11-20,16,,BED-BLA,1049,1700
2019-11-20,16,,CENTRAL,307,3200
2019-11-20,16,,EAST,3171,6900
2019-11-20,16,,WEST,1549,5900
2019-11-20,17,,APSOUTH,2511,3600
2019-11-20,17,,BCPEP,3777,5600
2019-11-20,17,,BED-BLA,1224,1700
2019-11-20,17,,CENTRAL,733,3200
2019-11-20,17,,EAST,3835,6900
2019-11-20,17,,WEST,2230,5900
2019-11-20,18,,APSOUTH,2182,3600
2019-11-20,18,,BCPEP,4323,5600
2019-11-20,18,,BED-BLA,1184,1700
2019-11-20,18,,CENTRAL,604,3200
2019-11-20,18,,EAST,4027,6900
2019-11-20,18,,WEST,2253,5900
2019-11-20,19,,APSOUTH,2269,3600
2019-11-20,19,,BCPEP,3629,5600
2019-11-20,19,,BED-BLA,1135,1700
2019-11-20,19,,CENTRAL,368,3200
2019-11-20,19,,EAST,3807,6900
2019-11-20,19,,WEST,1727,5900
2019-11-20,20,,APSOUTH,2274,3600
2019-11-20,20,,BCPEP,3291,5600
2019-11-20,20,,BED-BLA,1118,1700
2019-11-20,20,,CENTRAL,123,3200
2019-11-20,20,,EAST,3583,6900
2019-11-20,20,,WEST,1299,5900
2019-11-20,21,,APSOUTH,2423,3600
2019-11-20,21,,BCPEP,3096,5600
2019-11-20,21,,BED-BLA,1142,1700
2019-11-20,21,,CENTRAL,63,3200
2019-11-20,21,,EAST,3056,6900
2019-11-20,21,,WEST,1189,5900
2019-11-20,22,,APSOUTH,2531,3600
2019-11-20,22,,BCPEP,3187,5600
2019-11-20,22,,BED-BLA,1226,1700
2019-11-20,22,,CENTRAL,125,3200
2019-11-20,22,,EAST,3092,6900
2019-11-20,22,,WEST,1300,5900
2019-11-20,23,,APSOUTH,2450,3600
2019-11-20,23,,BCPEP,3521,5600
2019-11-20,23,,BED-BLA,1183,1700
2019-11-20,23,,CENTRAL,65,3200
2019-11-20,23,,EAST,2756,6900
2019-11-20,23,,WEST,1319,5900
2019-11-20,24,,APSOUTH,2647,3500
2019-11-20,24,,BCPEP,3451,5000
2019-11-20,24,,BED-BLA,1247,1600
2019-11-20,24,,CENTRAL,202,3300
2019-11-20,24,,EAST,2610,6100
2019-11-20,24,,WEST,1537,5700
