Day,Hour,IsDuplicateHour,InterfaceLimitName,FlowMW,LimitMW
2019-11-20,1,,APSOUTH,2347,3500
2019-11-20,1,,BCPEP,2643,5000
2019-11-20,1,,BED-BLA,884,1600
2019-11-20,1,,CENTRAL,-1879,3300
2019-11-20,1,,EAST,1263,6100
2019-11-20,1,,WEST,342,5700
2019-11-20,2,,APSOUTH,2483,3500
2019-11-20,2,,BCPEP,2823,5000
2019-11-20,2,,BED-BLA,1031,1600
2019-11-20,2,,CENTRAL,-158,3300
2019-11-20,2,,EAST,2019,6100
2019-11-20,2,,WEST,888,5700
2019-11-20,3,,APSOUTH,2400,3500
2019-11-20,3,,BCPEP,2704,5000
2019-11-20,3,,BED-BLA,998,1600
2019-11-20,3,,CENTRAL,-192,3300
2019-11-20,3,,EAST,1945,6100
2019-11-20,3,,WEST,812,5700
2019-11-20,4,,APSOUTH,2444,3500
2019-11-20,4,,BCPEP,2980,5000
2019-11-20,4,,BED-BLA,1061,1600
2019-11-20,4,,CENTRAL,-95,3300
2019-11-20,4,,EAST,2005,6100
2019-11-20,4,,WEST,1041,5700
2019-11-20,5,,APSOUTH,2317,3500
2019-11-20,5,,BCPEP,3188,5000
2019-11-20,5,,BED-BLA,1041,1600
2019-11-20,5,,CENTRAL,-125,3300
2019-11-20,5,,EAST,1968,6100
2019-11-20,5,,WEST,1063,5700
2019-11-20,6,,APSOUTH,2616,3500
2019-11-20,6,,BCPEP,2448,5000
2019-11-20,6,,BED-BLA,1243,1600
2019-11-20,6,,CENTRAL,351,3300
2019-11-20,6,,EAST,3023,6100
2019-11-20,6,,WEST,1468,5700
2019-11-20,7,,APSOUTH,2288,3500
2019-11-20,7,,BCPEP,2952,5000
2019-11-20,7,,BED-BLA,1171,1600
2019-11-20,7,,CENTRAL,305,3300
2019-11-20,7,,EAST,3438,6100
2019-11-20,7,,WEST,1525,5700
2019-11-20,8,,APSOUTH,2083,3600
2019-11-20,8,,BCPEP,2685,5600
2019-11-20,8,,BED-BLA,1055,1700
2019-11-20,8,,CENTRAL,30,3200
2019-11-20,8,,EAST,3139,6900
2019-11-20,8,,WEST,1047,5900
2019-11-20,9,,APSOUTH,2117,3600
2019-11-20,9,,BCPEP,2587,5600
2019-11-20,9,,BED-BLA,995,1700
2019-11-20,9,,CENTRAL,-181,3200
2019-11-20,9,,EAST,2839,6900
2019-11-20,9,,WEST,723,5900
2019-11-20,10,,APSOUTH,2004,3600
2019-11-20,10,,BCPEP,3182,5600
2019-11-20,10,,BED-BLA,947,1700
2019-11-20,10,,CENTRAL,-35,3200
2019-11-20,10,,EAST,2470,6900
2019-11-20,10,,WEST,1053,5900
2019-11-20,11,,APSOUTH,2175,3600
2019-11-20,11,,BCPEP,2995,5600
2019-11-20,11,,BED-BLA,965,1700
2019-11-20,11,,CENTRAL,-17,3200
2019-11-20,11,,EAST,2488,6900
2019-11-20,11,,WEST,1005,5900
2019-11-20,12,,APSOUTH,2103,3600
2019-11-20,12,,BCPEP,3291,5600
2019-11-20,12,,BED-BLA,937,1700
2019-11-20,12,,CENTRAL,18,3200
2019-11-20,12,,EAST,2501,6900
2019-11-20,12,,WEST,1147,5900
2019-11-20,13,,APSOUTH,2178,3600
2019-11-20,13,,BCPEP,3102,5600
2019-11-20,13,,BED-BLA,991,1700
2019-11-20,13,,CENTRAL,137,3200
2019-11-20,13,,EAST,2751,6900
2019-11-20,13,,WEST,1253,5900
2019-11-20,14,,APSOUTH,2183,3600
2019-11-20,14,,BCPEP,3129,5600
2019-11-20,14,,BED-BLA,1001,1700
2019-11-20,14,,CENTRAL,267,3200
