evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 5:00:00 AM,11/15/2019 12:00:00 AM,11/15/2019 6:00:00 AM,11/15/2019 1:00:00 AM,PEPCO/MIDATL,3100
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 6:00:00 AM,11/15/2019 1:00:00 AM,11/15/2019 7:00:00 AM,11/15/2019 2:00:00 AM,PEPCO/MIDATL,3031
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 7:00:00 AM,11/15/2019 2:00:00 AM,11/15/2019 8:00:00 AM,11/15/2019 3:00:00 AM,PEPCO/MIDATL,3038
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 8:00:00 AM,11/15/2019 3:00:00 AM,11/15/2019 9:00:00 AM,11/15/2019 4:00:00 AM,PEPCO/MIDATL,3054
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 9:00:00 AM,11/15/2019 4:00:00 AM,11/15/2019 10:00:00 AM,11/15/2019 5:00:00 AM,PEPCO/MIDATL,3190
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 10:00:00 AM,11/15/2019 5:00:00 AM,11/15/2019 11:00:00 AM,11/15/2019 6:00:00 AM,PEPCO/MIDATL,3494
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 11:00:00 AM,11/15/2019 6:00:00 AM,11/15/2019 12:00:00 PM,11/15/2019 7:00:00 AM,PEPCO/MIDATL,3912
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 12:00:00 PM,11/15/2019 7:00:00 AM,11/15/2019 1:00:00 PM,11/15/2019 8:00:00 AM,PEPCO/MIDATL,4073
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 1:00:00 PM,11/15/2019 8:00:00 AM,11/15/2019 2:00:00 PM,11/15/2019 9:00:00 AM,PEPCO/MIDATL,3962
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 2:00:00 PM,11/15/2019 9:00:00 AM,11/15/2019 3:00:00 PM,11/15/2019 10:00:00 AM,PEPCO/MIDATL,3806
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 3:00:00 PM,11/15/2019 10:00:00 AM,11/15/2019 4:00:00 PM,11/15/2019 11:00:00 AM,PEPCO/MIDATL,3596
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 4:00:00 PM,11/15/2019 11:00:00 AM,11/15/2019 5:00:00 PM,11/15/2019 12:00:00 PM,PEPCO/MIDATL,3487
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 5:00:00 PM,11/15/2019 12:00:00 PM,11/15/2019 6:00:00 PM,11/15/2019 1:00:00 PM,PEPCO/MIDATL,3415
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 6:00:00 PM,11/15/2019 1:00:00 PM,11/15/2019 7:00:00 PM,11/15/2019 2:00:00 PM,PEPCO/MIDATL,3365
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 7:00:00 PM,11/15/2019 2:00:00 PM,11/15/2019 8:00:00 PM,11/15/2019 3:00:00 PM,PEPCO/MIDATL,3366
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 8:00:00 PM,11/15/2019 3:00:00 PM,11/15/2019 9:00:00 PM,11/15/2019 4:00:00 PM,PEPCO/MIDATL,3425
