Day,Location,Type,Hour,IsDuplicateHour,LMP,LossLMP,CongestionLMP
2019-11-16,51291,Public,1,,23.387592,-0.354441,-0.157967
2019-11-16,51291,Public,2,,22.716528,-0.403279,-0.080193
2019-11-16,51291,Public,3,,22.808702,-0.560583,0.109285
2019-11-16,51291,Public,4,,22.749,-0.511918,0.040918
2019-11-16,51291,Public,5,,23.394258,-0.436387,0.370645
2019-11-16,51291,Public,6,,23.756051,-0.586204,0.002255
2019-11-16,51291,Public,7,,24.466077,-0.394098,-2.499825
2019-11-16,51291,Public,8,,25.956961,-0.44681,-4.846229
2019-11-16,51291,Public,9,,28.58996,-0.805334,-2.454706
2019-11-16,51291,Public,10,,26.909672,-0.88646,-3.013868
2019-11-16,51291,Public,11,,25.793417,-0.961354,-2.715229
2019-11-16,51291,Public,12,,25.142832,-0.910256,-1.796912
2019-11-16,51291,Public,13,,23.630382,-0.867746,-1.451872
2019-11-16,51291,Public,14,,23.07302,-0.86399,-1.25299
2019-11-16,51291,Public,15,,22.370336,-0.768917,-1.350747
2019-11-16,51291,Public,16,,22.988334,-0.530293,-1.251373
2019-11-16,51291,Public,17,,27.040266,-0.31231,-1.157424
2019-11-16,51291,Public,18,,33.848301,-0.429421,-0.952278
2019-11-16,51291,Public,19,,31.074624,-0.689038,-2.596338
2019-11-16,51291,Public,20,,31.341699,-0.738225,-1.260076
2019-11-16,51291,Public,21,,30.855133,-0.563329,-0.041538
2019-11-16,51291,Public,22,,28.153088,-0.686312,-0.0806
2019-11-16,51291,Public,23,,25.053235,-0.526073,-0.160692
2019-11-16,51291,Public,24,,24.411582,-0.512723,0.434305
2019-11-16,8445784,Public,1,,25.409689,0.457852,1.051837
2019-11-16,8445784,Public,2,,24.844634,0.460785,1.183849
2019-11-16,8445784,Public,3,,25.02025,0.517523,1.242727
2019-11-16,8445784,Public,4,,24.956305,0.440467,1.295838
2019-11-16,8445784,Public,5,,25.353847,0.398109,1.495738
2019-11-16,8445784,Public,6,,26.372775,0.487077,1.545698
2019-11-16,8445784,Public,7,,29.806685,0.412734,2.033951
2019-11-16,8445784,Public,8,,34.219715,0.361655,2.60806
2019-11-16,8445784,Public,9,,33.996986,0.581873,1.565113
2019-11-16,8445784,Public,10,,32.859661,0.601665,1.447996
2019-11-16,8445784,Public,11,,31.267713,0.625797,1.171916
2019-11-16,8445784,Public,12,,29.317927,0.57003,0.897897
2019-11-16,8445784,Public,13,,27.479264,0.500338,1.028926
2019-11-16,8445784,Public,14,,26.73265,0.49884,1.04381
2019-11-16,8445784,Public,15,,26.049359,0.446806,1.112553
2019-11-16,8445784,Public,16,,26.195266,0.356929,1.068337
2019-11-16,8445784,Public,17,,29.979121,0.316134,1.152987
2019-11-16,8445784,Public,18,,37.571386,0.522656,1.81873
2019-11-16,8445784,Public,19,,37.087017,0.617614,2.109403
2019-11-16,8445784,Public,20,,35.755154,0.613979,1.801175
2019-11-16,8445784,Public,21,,33.580722,0.492365,1.628357
2019-11-16,8445784,Public,22,,30.778702,0.555389,1.303313
2019-11-16,8445784,Public,23,,27.636645,0.492358,1.404287
2019-11-16,8445784,Public,24,,26.222528,0.472274,1.260254
2019-11-16,8394954,Public,1,,24.824577,-0.172084,1.096661
2019-11-16,8394954,Public,2,,24.256838,-0.137079,1.193917
2019-11-16,8394954,Public,3,,24.362735,-0.117783,1.220518
2019-11-16,8394954,Public,4,,24.421257,-0.079999,1.281256
2019-11-16,8394954,Public,5,,24.829452,-0.119182,1.488634
2019-11-16,8394954,Public,6,,26.012855,-0.094772,1.767627
2019-11-16,8394954,Public,7,,29.936829,-0.059697,2.636526
2019-11-16,8394954,Public,8,,34.530987,0.007425,3.273562
2019-11-16,8394954,Public,9,,33.900313,-0.096346,2.146659
2019-11-16,8394954,Public,10,,32.767235,-0.057206,2.014441
2019-11-16,8394954,Public,11,,31.058101,-0.10731,1.695411
2019-11-16,8394954,Public,12,,29.20122,-0.092457,1.443677
2019-11-16,8394954,Public,13,,27.21279,-0.119387,1.382177
2019-11-16,8394954,Public,14,,26.467322,-0.102497,1.379819
2019-11-16,8394954,Public,15,,25.833484,-0.063984,1.407468
2019-11-16,8394954,Public,16,,26.06642,-0.045222,1.341642
2019-11-16,8394954,Public,17,,29.982964,-0.040182,1.513146
2019-11-16,8394954,Public,18,,37.199642,-0.120481,2.090123
2019-11-16,8394954,Public,19,,36.656008,-0.15144,2.447448
2019-11-16,8394954,Public,20,,35.321195,-0.140516,2.121711
2019-11-16,8394954,Public,21,,33.3694,-0.009672,1.919072
2019-11-16,8394954,Public,22,,30.331783,-0.068841,1.480624
2019-11-16,8394954,Public,23,,27.149534,-0.056761,1.466295
2019-11-16,8394954,Public,24,,25.656336,-0.013098,1.179434
2019-11-16,116013753,Public,1,,25.118082,0.30387,0.914212
2019-11-16,116013753,Public,2,,24.499471,0.25695,1.042521
2019-11-16,116013753,Public,3,,24.660664,0.290518,1.110146
2019-11-16,116013753,Public,4,,24.677889,0.298547,1.159342
2019-11-16,116013753,Public,5,,25.088028,0.265367,1.362661
2019-11-16,116013753,Public,6,,26.028901,0.301971,1.38693
2019-11-16,116013753,Public,7,,29.47568,0.39364,1.72204
2019-11-16,116013753,Public,8,,33.768777,0.442435,2.076342
2019-11-16,116013753,Public,9,,33.580865,0.555206,1.175659
2019-11-16,116013753,Public,10,,32.625509,0.774742,1.040767
2019-11-16,116013753,Public,11,,31.168094,0.793896,0.904198
2019-11-16,116013753,Public,12,,29.261662,0.703623,0.708039
2019-11-16,116013753,Public,13,,27.500263,0.66925,0.881013
2019-11-16,116013753,Public,14,,26.750096,0.655728,0.904368
2019-11-16,116013753,Public,15,,26.045885,0.597119,0.958766
2019-11-16,116013753,Public,16,,26.172263,0.47815,0.924113
2019-11-16,116013753,Public,17,,30.014234,0.494103,1.010131
2019-11-16,116013753,Public,18,,37.282844,0.531058,1.521786
2019-11-16,116013753,Public,19,,36.557283,0.527561,1.669722
2019-11-16,116013753,Public,20,,35.344667,0.52813,1.476537
2019-11-16,116013753,Public,21,,33.406756,0.535671,1.411085
2019-11-16,116013753,Public,22,,30.625593,0.588476,1.117117
2019-11-16,116013753,Public,23,,27.376073,0.440301,1.195772
2019-11-16,116013753,Public,24,,25.905528,0.31741,1.098118
2019-11-16,51292,Public,1,,25.044966,-0.094168,1.239134
2019-11-16,51292,Public,2,,24.581532,-0.021679,1.403211
2019-11-16,51292,Public,3,,24.647556,-0.055155,1.442711
2019-11-16,51292,Public,4,,24.80685,0.060815,1.526035
2019-11-16,51292,Public,5,,25.310367,0.169498,1.680869
2019-11-16,51292,Public,6,,26.189414,0.110163,1.739251
2019-11-16,51292,Public,7,,30.614959,0.357073,2.897886
2019-11-16,51292,Public,8,,36.031143,0.511039,4.270104
2019-11-16,51292,Public,9,,34.231085,0.151939,2.229146
2019-11-16,51292,Public,10,,33.02714,0.067498,2.149642
2019-11-16,51292,Public,11,,31.307267,-0.055093,1.89236
2019-11-16,51292,Public,12,,29.134006,-0.031619,1.315625
2019-11-16,51292,Public,13,,27.413806,-0.062099,1.525905
2019-11-16,51292,Public,14,,26.618024,-0.070916,1.49894
2019-11-16,51292,Public,15,,26.116348,-0.000673,1.627021
