Entity Type,site
Entity Id,3563490
field,GHIh_t_sum
timestamp,"Maret School - Expected Insolation Global Horizontal - TMY3, sum, (Wh/m&#178;)"
06/01/2017 00:00:00,6116.4
06/02/2017 00:00:00,6116.4
06/03/2017 00:00:00,6116.4
06/04/2017 00:00:00,6116.4
06/05/2017 00:00:00,6116.4
06/06/2017 00:00:00,6116.4
06/07/2017 00:00:00,6116.4
06/08/2017 00:00:00,6116.4
06/09/2017 00:00:00,6116.4
06/10/2017 00:00:00,6116.4
06/11/2017 00:00:00,6116.4
06/12/2017 00:00:00,6116.4
06/13/2017 00:00:00,6116.4
06/14/2017 00:00:00,6116.4
06/15/2017 00:00:00,6116.4
06/16/2017 00:00:00,6116.4
06/17/2017 00:00:00,6116.4
06/18/2017 00:00:00,6116.4
06/19/2017 00:00:00,6116.4
06/20/2017 00:00:00,6116.4
06/21/2017 00:00:00,6116.4
06/22/2017 00:00:00,6116.4
06/23/2017 00:00:00,6116.4
06/24/2017 00:00:00,6116.4
06/25/2017 00:00:00,6116.4
06/26/2017 00:00:00,6116.4
06/27/2017 00:00:00,6116.4
06/28/2017 00:00:00,6116.4
06/29/2017 00:00:00,6116.4
06/30/2017 00:00:00,6116.4
07/01/2017 00:00:00,5878.839
07/02/2017 00:00:00,5878.839
07/03/2017 00:00:00,5878.839
07/04/2017 00:00:00,5878.839
07/05/2017 00:00:00,5878.839
07/06/2017 00:00:00,5878.839
07/07/2017 00:00:00,5878.839
07/08/2017 00:00:00,5878.839
07/09/2017 00:00:00,5878.839
07/10/2017 00:00:00,5878.839
07/11/2017 00:00:00,5878.839
07/12/2017 00:00:00,5878.839
07/13/2017 00:00:00,5878.839
07/14/2017 00:00:00,5878.839
07/15/2017 00:00:00,5878.839
07/16/2017 00:00:00,5878.839
07/17/2017 00:00:00,5878.839
07/18/2017 00:00:00,5878.839
07/19/2017 00:00:00,5878.839
07/20/2017 00:00:00,5878.839
07/21/2017 00:00:00,5878.839
07/22/2017 00:00:00,5878.839
07/23/2017 00:00:00,5878.839
07/24/2017 00:00:00,5878.839
07/25/2017 00:00:00,5878.839
07/26/2017 00:00:00,5878.839
07/27/2017 00:00:00,5878.839
07/28/2017 00:00:00,5878.839
07/29/2017 00:00:00,5878.839
07/30/2017 00:00:00,5878.839
07/31/2017 00:00:00,5878.839
08/01/2017 00:00:00,5386.903
08/02/2017 00:00:00,5386.903
08/03/2017 00:00:00,5386.903
08/04/2017 00:00:00,5386.903
08/05/2017 00:00:00,5386.903
08/06/2017 00:00:00,5386.903
08/07/2017 00:00:00,5386.903
08/08/2017 00:00:00,5386.903
08/09/2017 00:00:00,5386.903
08/10/2017 00:00:00,5386.903
08/11/2017 00:00:00,5386.903
08/12/2017 00:00:00,5386.903
08/13/2017 00:00:00,5386.903
08/14/2017 00:00:00,5386.903
08/15/2017 00:00:00,5386.903
08/16/2017 00:00:00,5386.903
08/17/2017 00:00:00,5386.903
08/18/2017 00:00:00,5386.903
08/19/2017 00:00:00,5386.903
08/20/2017 00:00:00,5386.903
08/21/2017 00:00:00,5386.903
08/22/2017 00:00:00,5386.903
08/23/2017 00:00:00,5386.903
08/24/2017 00:00:00,5386.903
08/25/2017 00:00:00,5386.903
08/26/2017 00:00:00,5386.903
08/27/2017 00:00:00,5386.903
08/28/2017 00:00:00,5386.903
08/29/2017 00:00:00,5386.903
08/30/2017 00:00:00,5386.903
08/31/2017 00:00:00,5386.903
09/01/2017 00:00:00,4287.867
09/02/2017 00:00:00,4287.867
09/03/2017 00:00:00,4287.867
09/04/2017 00:00:00,4287.867
09/05/2017 00:00:00,4287.867
09/06/2017 00:00:00,4287.867
09/07/2017 00:00:00,4287.867
09/08/2017 00:00:00,4287.867
09/09/2017 00:00:00,4287.867
09/10/2017 00:00:00,4287.867
09/11/2017 00:00:00,4287.867
09/12/2017 00:00:00,4287.867
09/13/2017 00:00:00,4287.867
09/14/2017 00:00:00,4287.867
09/15/2017 00:00:00,4287.867
09/16/2017 00:00:00,4287.867
09/17/2017 00:00:00,4287.867
09/18/2017 00:00:00,4287.867
09/19/2017 00:00:00,4287.867
09/20/2017 00:00:00,4287.867
09/21/2017 00:00:00,4287.867
09/22/2017 00:00:00,4287.867
09/23/2017 00:00:00,4287.867
09/24/2017 00:00:00,4287.867
09/25/2017 00:00:00,4287.867
09/26/2017 00:00:00,4287.867
09/27/2017 00:00:00,4287.867
09/28/2017 00:00:00,4287.867
09/29/2017 00:00:00,4287.867
09/30/2017 00:00:00,4287.867
10/01/2017 00:00:00,3650.419
10/02/2017 00:00:00,3650.419
10/03/2017 00:00:00,3650.419
10/04/2017 00:00:00,3650.419
10/05/2017 00:00:00,3650.419
10/06/2017 00:00:00,3650.419
10/07/2017 00:00:00,3650.419
10/08/2017 00:00:00,3650.419
10/09/2017 00:00:00,3650.419
10/10/2017 00:00:00,3650.419
10/11/2017 00:00:00,3650.419
10/12/2017 00:00:00,3650.419
10/13/2017 00:00:00,3650.419
10/14/2017 00:00:00,3650.419
10/15/2017 00:00:00,3650.419
10/16/2017 00:00:00,3650.419
10/17/2017 00:00:00,3650.419
10/18/2017 00:00:00,3650.419
10/19/2017 00:00:00,3650.419
10/20/2017 00:00:00,3650.419
10/21/2017 00:00:00,3650.419
10/22/2017 00:00:00,3650.419
10/23/2017 00:00:00,3650.419
10/24/2017 00:00:00,3650.419
10/25/2017 00:00:00,3650.419
10/26/2017 00:00:00,3650.419
10/27/2017 00:00:00,3650.419
10/28/2017 00:00:00,3650.419
10/29/2017 00:00:00,3650.419
10/30/2017 00:00:00,3650.419
10/31/2017 00:00:00,3650.419
11/01/2017 00:00:00,2082.533
11/02/2017 00:00:00,2082.533
11/03/2017 00:00:00,2082.533
11/04/2017 00:00:00,2082.533
11/05/2017 00:00:00,2082.533
11/06/2017 00:00:00,2082.533
11/07/2017 00:00:00,2082.533
11/08/2017 00:00:00,2082.533
11/09/2017 00:00:00,2082.533
11/10/2017 00:00:00,2082.533
11/11/2017 00:00:00,2082.533
11/12/2017 00:00:00,2082.533
11/13/2017 00:00:00,2082.533
11/14/2017 00:00:00,2082.533
11/15/2017 00:00:00,2082.533
11/16/2017 00:00:00,2082.533
11/17/2017 00:00:00,2082.533
11/18/2017 00:00:00,2082.533
11/19/2017 00:00:00,2082.533
11/20/2017 00:00:00,2082.533
11/21/2017 00:00:00,2082.533
11/22/2017 00:00:00,2082.533
11/23/2017 00:00:00,2082.533
11/24/2017 00:00:00,2082.533
11/25/2017 00:00:00,2082.533
11/26/2017 00:00:00,2082.533
11/27/2017 00:00:00,2082.533
11/28/2017 00:00:00,2082.533
11/29/2017 00:00:00,2082.533
11/30/2017 00:00:00,2082.533
12/01/2017 00:00:00,1819.226
12/02/2017 00:00:00,1819.226
12/03/2017 00:00:00,1819.226
12/04/2017 00:00:00,1819.226
12/05/2017 00:00:00,1819.226
12/06/2017 00:00:00,1819.226
12/07/2017 00:00:00,1819.226
12/08/2017 00:00:00,1819.226
12/09/2017 00:00:00,1819.226
12/10/2017 00:00:00,1819.226
12/11/2017 00:00:00,1819.226
12/12/2017 00:00:00,1819.226
12/13/2017 00:00:00,1819.226
12/14/2017 00:00:00,1819.226
12/15/2017 00:00:00,1819.226
12/16/2017 00:00:00,1819.226
12/17/2017 00:00:00,1819.226
12/18/2017 00:00:00,1819.226
12/19/2017 00:00:00,1819.226
12/20/2017 00:00:00,1819.226
12/21/2017 00:00:00,1819.226
12/22/2017 00:00:00,1819.226
12/23/2017 00:00:00,1819.226
12/24/2017 00:00:00,1819.226
12/25/2017 00:00:00,1819.226
12/26/2017 00:00:00,1819.226
12/27/2017 00:00:00,1819.226
12/28/2017 00:00:00,1819.226
12/29/2017 00:00:00,1819.226
12/30/2017 00:00:00,1819.226
12/31/2017 00:00:00,1819.226
01/01/2018 00:00:00,1915.419
01/02/2018 00:00:00,1915.419
01/03/2018 00:00:00,1915.419
01/04/2018 00:00:00,1915.419
01/05/2018 00:00:00,1915.419
01/06/2018 00:00:00,1915.419
01/07/2018 00:00:00,1915.419
01/08/2018 00:00:00,1915.419
01/09/2018 00:00:00,1915.419
01/10/2018 00:00:00,1915.419
01/11/2018 00:00:00,1915.419
01/12/2018 00:00:00,1915.419
01/13/2018 00:00:00,1915.419
01/14/2018 00:00:00,1915.419
01/15/2018 00:00:00,1915.419
01/16/2018 00:00:00,1915.419
01/17/2018 00:00:00,1915.419
01/18/2018 00:00:00,1915.419
01/19/2018 00:00:00,1915.419
01/20/2018 00:00:00,1915.419
01/21/2018 00:00:00,1915.419
01/22/2018 00:00:00,1915.419
01/23/2018 00:00:00,1915.419
01/24/2018 00:00:00,1915.419
01/25/2018 00:00:00,1915.419
01/26/2018 00:00:00,1915.419
01/27/2018 00:00:00,1915.419
01/28/2018 00:00:00,1915.419
01/29/2018 00:00:00,1915.419
01/30/2018 00:00:00,1915.419
01/31/2018 00:00:00,1915.419
02/01/2018 00:00:00,2627.214
02/02/2018 00:00:00,2627.214
02/03/2018 00:00:00,2627.214
02/04/2018 00:00:00,2627.214
02/05/2018 00:00:00,2627.214
02/06/2018 00:00:00,2627.214
02/07/2018 00:00:00,2627.214
02/08/2018 00:00:00,2627.214
02/09/2018 00:00:00,2627.214
02/10/2018 00:00:00,2627.214
02/11/2018 00:00:00,2627.214
02/12/2018 00:00:00,2627.214
02/13/2018 00:00:00,2627.214
02/14/2018 00:00:00,2627.214
02/15/2018 00:00:00,2627.214
02/16/2018 00:00:00,2627.214
02/17/2018 00:00:00,2627.214
02/18/2018 00:00:00,2627.214
02/19/2018 00:00:00,2627.214
02/20/2018 00:00:00,2627.214
02/21/2018 00:00:00,2627.214
02/22/2018 00:00:00,2627.214
02/23/2018 00:00:00,2627.214
02/24/2018 00:00:00,2627.214
02/25/2018 00:00:00,2627.214
02/26/2018 00:00:00,2627.214
02/27/2018 00:00:00,2627.214
02/28/2018 00:00:00,2627.214
03/01/2018 00:00:00,3779.452
03/02/2018 00:00:00,3779.452
03/03/2018 00:00:00,3779.452
03/04/2018 00:00:00,3779.452
03/05/2018 00:00:00,3779.452
03/06/2018 00:00:00,3779.452
03/07/2018 00:00:00,3779.452
03/08/2018 00:00:00,3779.452
03/09/2018 00:00:00,3779.452
03/10/2018 00:00:00,3779.452
03/11/2018 00:00:00,3779.452
03/12/2018 00:00:00,3779.452
03/13/2018 00:00:00,3779.452
03/14/2018 00:00:00,3779.452
03/15/2018 00:00:00,3779.452
03/16/2018 00:00:00,3779.452
03/17/2018 00:00:00,3779.452
03/18/2018 00:00:00,3779.452
03/19/2018 00:00:00,3779.452
03/20/2018 00:00:00,3779.452
03/21/2018 00:00:00,3779.452
03/22/2018 00:00:00,3779.452
03/23/2018 00:00:00,3779.452
03/24/2018 00:00:00,3779.452
03/25/2018 00:00:00,3779.452
03/26/2018 00:00:00,3779.452
03/27/2018 00:00:00,3779.452
03/28/2018 00:00:00,3779.452
03/29/2018 00:00:00,3779.452
03/30/2018 00:00:00,3779.452
03/31/2018 00:00:00,3779.452
04/01/2018 00:00:00,5273.667
04/02/2018 00:00:00,5273.667
04/03/2018 00:00:00,5273.667
04/04/2018 00:00:00,5273.667
04/05/2018 00:00:00,5273.667
04/06/2018 00:00:00,5273.667
04/07/2018 00:00:00,5273.667
04/08/2018 00:00:00,5273.667
04/09/2018 00:00:00,5273.667
04/10/2018 00:00:00,5273.667
04/11/2018 00:00:00,5273.667
04/12/2018 00:00:00,5273.667
04/13/2018 00:00:00,5273.667
04/14/2018 00:00:00,5273.667
04/15/2018 00:00:00,5273.667
04/16/2018 00:00:00,5273.667
04/17/2018 00:00:00,5273.667
04/18/2018 00:00:00,5273.667
04/19/2018 00:00:00,5273.667
04/20/2018 00:00:00,5273.667
04/21/2018 00:00:00,5273.667
